"Bedrijven; bedrijfstak"
"Perioden: 2008 3e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1112885";"746650";"158440";"82110";"58750";"32530";"19890";"6870";"798730";"314155"
"Totaal (ex. financieel of nutsbedrijven)";"1043660";"690635";"151825";"79025";"57075";"31625";"19410";"6690";"790695";"252970"
"A Landbouw, bosbouw en visserij";"72105";"23500";"30360";"11410";"4150";"1820";"700";"120";"64880";"7225"
"B-E Nijverheid (geen bouw) en energie";"53260";"27935";"6275";"4405";"4970";"3885";"3055";"1295";"33100";"20160"
"B Delfstoffenwinning";"300";"145";"25";"20";"25";"30";"20";"10";"85";"215"
"C Industrie";"51160";"26875";"6050";"4245";"4800";"3730";"2910";"1235";"32405";"18755"
"D Energievoorziening";"645";"415";"105";"40";"20";"10";"10";"10";"285";"365"
"E Waterbedrijven en afvalbeheer";"1150";"495";"90";"100";"125";"120";"105";"40";"325";"830"
"F Bouwnijverheid";"124870";"93930";"12190";"6485";"5485";"3630";"2115";"590";"105025";"19845"
"G-I Handel, vervoer en horeca";"276105";"148950";"51450";"30435";"23400";"11750";"6690";"1945";"207845";"68265"
"G Handel";"201980";"115185";"35375";"21155";"15685";"7720";"4585";"1295";"148700";"53280"
"H Vervoer en opslag";"30045";"16300";"5300";"2510";"2275";"1585";"1210";"475";"21655";"8390"
"I Horeca";"44085";"17460";"10775";"6770";"5440";"2450";"895";"180";"37490";"6595"
"J Informatie en communicatie";"52310";"40850";"5180";"2150";"1655";"1160";"810";"260";"38115";"14195"
"K Financiële dienstverlening";"67380";"55085";"6410";"2945";"1515";"770";"360";"125";"7415";"59970"
"L Verhuur en handel van onroerend goed";"25205";"17025";"4705";"1765";"885";"385";"235";"120";"12930";"12280"
"M-N Zakelijke dienstverlening";"239205";"185460";"22790";"11065";"8535";"5450";"3555";"1235";"169735";"69470"
"M Specialistische zakelijke diensten";"194825";"157595";"17325";"7855";"5710";"3450";"1875";"550";"137160";"57665"
"N Verhuur en overige zakelijke diensten";"44380";"27865";"5465";"3205";"2825";"1995";"1680";"685";"32580";"11800"
"O-Q Overheid en zorg";"79825";"53340";"9035";"6135";"4470";"2095";"1445";"915";"62010";"17815"
"O Openbaar bestuur en overheidsdiensten";"755";"70";"10";"5";"15";"15";"50";"120";"30";"720"
"P Onderwijs";"30205";"24290";"2370";"750";"575";"510";"535";"320";"25445";"4760"
"Q Gezondheids- en welzijnszorg";"48860";"28980";"6650";"5380";"3880";"1565";"860";"475";"36535";"12330"
"R-U Cultuur, recreatie, overige diensten";"122620";"100580";"10040";"5320";"3680";"1585";"930";"265";"97680";"24940"
"R Cultuur, sport en recreatie";"53880";"44645";"4395";"1925";"1430";"760";"500";"135";"41170";"12715"
"S Overige dienstverlening";"68695";"55915";"5645";"3395";"2235";"825";"425";"130";"56495";"12200"
"T Huishoudens";"10";"5";"0";"0";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"35";"15";"0";"5";"10";"5";"0";"0";"5";"30"
"Bron: CBS"
