"Bedrijven; bedrijfstak"
"Perioden: 2010 4e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1265225";"874475";"171145";"88330";"64830";"32590";"19505";"6880";"933055";"332170"
"Totaal (ex. financieel of nutsbedrijven)";"1191105";"812165";"164995";"85930";"63235";"31775";"19060";"6725";"925945";"265160"
"A Landbouw, bosbouw en visserij";"73560";"33530";"24405";"10030";"3515";"1395";"540";"95";"67705";"5855"
"B-E Nijverheid (geen bouw) en energie";"55105";"29000";"6750";"4630";"5245";"3875";"2980";"1305";"34710";"20395"
"B Delfstoffenwinning";"310";"155";"30";"25";"30";"20";"20";"10";"105";"205"
"C Industrie";"52905";"27900";"6460";"4460";"5085";"3725";"2825";"1240";"33950";"18950"
"D Energievoorziening";"675";"400";"130";"55";"20";"15";"15";"10";"280";"395"
"E Waterbedrijven en afvalbeheer";"1220";"540";"130";"90";"110";"120";"115";"45";"375";"845"
"F Bouwnijverheid";"133830";"100145";"14590";"6740";"5750";"3510";"2085";"590";"113380";"20445"
"G-I Handel, vervoer en horeca";"284675";"144850";"56605";"34370";"26610";"12070";"6685";"2000";"214885";"69790"
"G Handel";"207865";"112560";"38865";"23650";"17920";"7950";"4630";"1330";"153680";"54190"
"H Vervoer en opslag";"31560";"16600";"6000";"2930";"2395";"1575";"1185";"495";"22960";"8595"
"I Horeca";"45250";"15695";"11740";"7795";"6300";"2545";"875";"180";"38245";"7005"
"J Informatie en communicatie";"62185";"48855";"6460";"2440";"1915";"1210";"780";"275";"46360";"15825"
"K Financiële dienstverlening";"72205";"61355";"5890";"2250";"1470";"680";"315";"100";"6445";"65760"
"L Verhuur en handel van onroerend goed";"24335";"15370";"5060";"2215";"870";"370";"240";"120";"11725";"12610"
"M-N Zakelijke dienstverlening";"284760";"224425";"27500";"11665";"9885";"5455";"3445";"1225";"207875";"76885"
"M Specialistische zakelijke diensten";"233220";"191240";"20880";"8075";"6740";"3500";"1820";"510";"169165";"64055"
"N Verhuur en overige zakelijke diensten";"51540";"33190";"6620";"3590";"3145";"1955";"1625";"715";"38710";"12830"
"O-Q Overheid en zorg";"126805";"94895";"11885";"7615";"5365";"2350";"1470";"895";"107785";"19020"
"O Openbaar bestuur en overheidsdiensten";"785";"100";"10";"5";"10";"25";"45";"130";"65";"720"
"P Onderwijs";"40975";"33865";"3350";"965";"640";"525";"465";"315";"36050";"4925"
"Q Gezondheids- en welzijnszorg";"85050";"60925";"8530";"6645";"4715";"1800";"960";"455";"71675";"13375"
"R-U Cultuur, recreatie, overige diensten";"147765";"122050";"12000";"6370";"4205";"1670";"960";"275";"122180";"25590"
"R Cultuur, sport en recreatie";"71375";"60405";"5560";"2300";"1565";"780";"520";"145";"57925";"13445"
"S Overige dienstverlening";"76370";"61625";"6435";"4065";"2640";"885";"440";"130";"64240";"12130"
"T Huishoudens";"15";"10";"5";"0";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"10";"5";"0";"0";"0";"0";"0";"0";"0";"10"
"Bron: CBS"
