"Bedrijven; bedrijfstak"
"Perioden: 2018 2e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1676935";"1279700";"179375";"87360";"64525";"31875";"19500";"6890";"1279110";"397825"
"Totaal (ex. financieel of nutsbedrijven)";"1582135";"1196885";"172785";"85170";"62915";"31130";"19065";"6740";"1270970";"311165"
"A Landbouw, bosbouw en visserij";"73610";"36160";"21705";"10710";"3310";"1080";"505";"90";"67420";"6190"
"B-E Nijverheid (geen bouw) en energie";"66765";"41625";"7230";"4185";"4835";"3480";"2820";"1220";"45040";"21725"
"B Delfstoffenwinning";"440";"295";"30";"25";"15";"20";"15";"15";"190";"250"
"C Industrie";"63400";"39445";"6925";"3980";"4625";"3340";"2685";"1150";"43645";"19755"
"D Energievoorziening";"1165";"825";"140";"65";"50";"20";"20";"10";"375";"785"
"E Waterbedrijven en afvalbeheer";"1760";"1055";"130";"120";"145";"100";"95";"45";"830";"930"
"F Bouwnijverheid";"166780";"137130";"14075";"5775";"4705";"2695";"1565";"495";"145765";"21015"
"G-I Handel, vervoer en horeca";"325260";"185845";"58330";"32575";"25775";"12030";"6885";"2120";"247215";"78045"
"G Handel";"227580";"136100";"39385";"21750";"16040";"7280";"4510";"1425";"168765";"58815"
"H Vervoer en opslag";"41835";"26760";"6340";"2850";"2290";"1510";"1200";"450";"32365";"9475"
"I Horeca";"55840";"22980";"12605";"7975";"7440";"3245";"1175";"245";"46085";"9755"
"J Informatie en communicatie";"89260";"72905";"7665";"2865";"2445";"1570";"1125";"380";"67090";"22165"
"K Financiële dienstverlening";"91850";"80910";"6310";"2005";"1420";"625";"315";"100";"6915";"84935"
"L Verhuur en handel van onroerend goed";"26355";"18595";"4015";"2035";"940";"355";"245";"90";"11515";"14840"
"M-N Zakelijke dienstverlening";"402200";"336585";"31500";"12335";"10215";"5375";"3510";"1320";"309280";"92920"
"M Specialistische zakelijke diensten";"331945";"286360";"23660";"8630";"6945";"3505";"1845";"550";"255470";"76475"
"N Verhuur en overige zakelijke diensten";"70255";"50230";"7835";"3705";"3270";"1870";"1665";"770";"53810";"16445"
"O-Q Overheid en zorg";"229910";"192190";"14940";"8290";"6805";"3100";"1650";"785";"203675";"26235"
"O Openbaar bestuur en overheidsdiensten";"760";"145";"5";"5";"35";"30";"40";"85";"95";"670"
"P Onderwijs";"80985";"71755";"5220";"1240";"740";"550";"435";"280";"74950";"6035"
"Q Gezondheids- en welzijnszorg";"148160";"120285";"9715";"7045";"6030";"2520";"1175";"425";"128630";"19530"
"R-U Cultuur, recreatie, overige diensten";"204950";"177755";"13605";"6585";"4080";"1565";"880";"295";"175190";"29760"
"R Cultuur, sport en recreatie";"103855";"91725";"6540";"2555";"1560";"750";"485";"145";"88260";"15590"
"S Overige dienstverlening";"101070";"86010";"7060";"4030";"2520";"815";"395";"150";"86910";"14160"
"T Huishoudens";"25";"15";"5";"0";"0";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
