"Bedrijven; bedrijfstak"
"Perioden: 2016 4e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1581740";"1186460";"177905";"90185";"62985";"31205";"18975";"6635";"1203760";"377980"
"Totaal (ex. financieel of nutsbedrijven)";"1493840";"1110355";"171430";"87945";"61415";"30490";"18535";"6505";"1196140";"297700"
"A Landbouw, bosbouw en visserij";"73605";"35890";"21770";"10745";"3310";"1205";"525";"100";"67755";"5850"
"B-E Nijverheid (geen bouw) en energie";"63930";"38825";"7040";"4475";"4820";"3450";"2770";"1235";"42780";"21145"
"B Delfstoffenwinning";"415";"260";"30";"25";"30";"20";"15";"15";"170";"245"
"C Industrie";"60885";"36960";"6735";"4270";"4610";"3305";"2630";"1175";"41545";"19340"
"D Energievoorziening";"1035";"695";"130";"70";"50";"25";"25";"5";"350";"685"
"E Waterbedrijven en afvalbeheer";"1595";"910";"145";"105";"135";"100";"95";"40";"720";"875"
"F Bouwnijverheid";"156095";"126935";"13680";"6055";"4580";"2615";"1465";"450";"135990";"20105"
"G-I Handel, vervoer en horeca";"317440";"177130";"58405";"34155";"25480";"11835";"6790";"2025";"241575";"75865"
"G Handel";"225300";"132695";"39960";"22820";"15975";"7065";"4415";"1325";"167610";"57690"
"H Vervoer en opslag";"38780";"23680";"5960";"3170";"2400";"1495";"1200";"460";"29665";"9115"
"I Horeca";"53360";"20760";"12485";"8160";"7105";"3275";"1175";"245";"44300";"9055"
"J Informatie en communicatie";"84125";"67875";"7820";"2995";"2305";"1515";"1005";"330";"63415";"20710"
"K Financiële dienstverlening";"85245";"74490";"6195";"2060";"1380";"585";"320";"85";"6535";"78710"
"L Verhuur en handel van onroerend goed";"25095";"17470";"4020";"1950";"890";"370";"215";"95";"11175";"13920"
"M-N Zakelijke dienstverlening";"376330";"311635";"31085";"12690";"9795";"5145";"3435";"1275";"288265";"88065"
"M Specialistische zakelijke diensten";"311015";"265790";"23515";"8890";"6705";"3350";"1820";"525";"238275";"72745"
"N Verhuur en overige zakelijke diensten";"65315";"45845";"7570";"3800";"3090";"1795";"1615";"750";"49990";"15325"
"O-Q Overheid en zorg";"208125";"171390";"14485";"8405";"6430";"2935";"1575";"765";"182885";"25235"
"O Openbaar bestuur en overheidsdiensten";"745";"120";"5";"10";"25";"25";"40";"100";"75";"670"
"P Onderwijs";"70955";"62080";"4900";"1240";"710";"550";"435";"265";"65250";"5705"
"Q Gezondheids- en welzijnszorg";"136425";"109185";"9580";"7155";"5695";"2365";"1100";"400";"117560";"18865"
"R-U Cultuur, recreatie, overige diensten";"191750";"164820";"13405";"6660";"3990";"1540";"875";"275";"163375";"28375"
"R Cultuur, sport en recreatie";"95855";"83875";"6415";"2545";"1580";"720";"485";"135";"81120";"14735"
"S Overige dienstverlening";"95875";"80935";"6985";"4110";"2405";"825";"390";"140";"82245";"13630"
"T Huishoudens";"15";"10";"0";"0";"5";"0";"0";"0";"10";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
