"Bedrijven; bedrijfstak"
"Perioden: 2014 4e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1454080";"1069715";"171930";"88100";"62210";"30310";"18280";"6430";"1095950";"358125"
"Totaal (ex. financieel of nutsbedrijven)";"1371215";"997885";"166130";"85865";"60700";"29595";"17865";"6295";"1088705";"282505"
"A Landbouw, bosbouw en visserij";"69275";"33260";"21260";"9655";"3225";"1260";"475";"90";"63705";"5565"
"B-E Nijverheid (geen bouw) en energie";"60290";"35285";"6920";"4500";"4920";"3460";"2710";"1195";"39660";"20630"
"B Delfstoffenwinning";"385";"235";"35";"20";"30";"15";"20";"15";"155";"235"
"C Industrie";"57600";"33720";"6605";"4330";"4725";"3320";"2575";"1135";"38600";"19000"
"D Energievoorziening";"955";"620";"150";"70";"35";"25";"20";"5";"375";"580"
"E Waterbedrijven en afvalbeheer";"1350";"705";"135";"80";"130";"100";"100";"45";"530";"815"
"F Bouwnijverheid";"143145";"113800";"13650";"6110";"4680";"2655";"1495";"445";"123285";"19860"
"G-I Handel, vervoer en horeca";"301575";"163560";"56970";"34200";"25495";"11365";"6545";"1915";"228385";"73190"
"G Handel";"217290";"124965";"39185";"23195";"16340";"6995";"4390";"1230";"160945";"56345"
"H Vervoer en opslag";"34865";"20145";"5920";"2960";"2390";"1425";"1160";"475";"26145";"8720"
"I Horeca";"49420";"18450";"11865";"8045";"6765";"2945";"1000";"210";"41290";"8125"
"J Informatie en communicatie";"76865";"61615";"7455";"2860";"2140";"1355";"895";"315";"58075";"18790"
"K Financiële dienstverlening";"80540";"70485";"5515";"2085";"1345";"595";"295";"90";"6325";"74215"
"L Verhuur en handel van onroerend goed";"23690";"16605";"3770";"1820";"790";"325";"200";"95";"10560";"13130"
"M-N Zakelijke dienstverlening";"345885";"283375";"30065";"12300";"9410";"5090";"3300";"1200";"261160";"84725"
"M Specialistische zakelijke diensten";"285320";"241635";"22675";"8655";"6465";"3280";"1705";"495";"215045";"70275"
"N Verhuur en overige zakelijke diensten";"60570";"41740";"7390";"3645";"2945";"1810";"1595";"705";"46115";"14450"
"O-Q Overheid en zorg";"177225";"142260";"13500";"8120";"6185";"2695";"1510";"825";"156520";"20700"
"O Openbaar bestuur en overheidsdiensten";"770";"130";"10";"10";"10";"20";"50";"125";"95";"675"
"P Onderwijs";"60140";"51810";"4440";"1110";"695";"570";"445";"295";"54650";"5490"
"Q Gezondheids- en welzijnszorg";"116315";"90320";"9050";"7000";"5480";"2105";"1015";"405";"101780";"14535"
"R-U Cultuur, recreatie, overige diensten";"175590";"149475";"12825";"6450";"4025";"1515";"855";"265";"148270";"27320"
"R Cultuur, sport en recreatie";"87090";"75670";"5990";"2430";"1570";"735";"470";"125";"72830";"14260"
"S Overige dienstverlening";"88480";"73790";"6830";"4020";"2450";"775";"380";"140";"75430";"13050"
"T Huishoudens";"15";"10";"0";"0";"5";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
