"Bedrijven; bedrijfstak"
"Perioden: 2016 1e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1536050";"1148860";"173520";"88905";"62125";"30540";"18370";"6495";"1165870";"370175"
"Totaal (ex. financieel of nutsbedrijven)";"1450400";"1073900";"168040";"86700";"60605";"29820";"17970";"6355";"1158420";"291980"
"A Landbouw, bosbouw en visserij";"72205";"35420";"21550";"9975";"3295";"1300";"520";"95";"66535";"5670"
"B-E Nijverheid (geen bouw) en energie";"62555";"37650";"6980";"4455";"4835";"3415";"2700";"1200";"41730";"20825"
"B Delfstoffenwinning";"395";"240";"35";"20";"30";"15";"20";"10";"160";"235"
"C Industrie";"59640";"35890";"6670";"4255";"4640";"3270";"2570";"1140";"40545";"19095"
"D Energievoorziening";"985";"645";"130";"80";"40";"30";"20";"5";"350";"630"
"E Waterbedrijven en afvalbeheer";"1540";"875";"145";"105";"125";"100";"90";"45";"670";"865"
"F Bouwnijverheid";"151490";"122615";"13525";"5975";"4610";"2590";"1410";"450";"131625";"19860"
"G-I Handel, vervoer en horeca";"311565";"172825";"57520";"34305";"25235";"11580";"6560";"1970";"236630";"74935"
"G Handel";"223765";"131510";"39590";"23015";"15960";"7010";"4390";"1290";"166405";"57360"
"H Vervoer en opslag";"36130";"21365";"5795";"3080";"2375";"1485";"1150";"465";"27215";"8915"
"I Horeca";"51670";"19950";"12135";"8210";"6900";"3090";"1020";"215";"43010";"8655"
"J Informatie en communicatie";"81510";"65870";"7515";"2895";"2265";"1410";"960";"325";"61620";"19885"
"K Financiële dienstverlening";"83110";"73425";"5200";"2025";"1355";"590";"285";"90";"6420";"76690"
"L Verhuur en handel van onroerend goed";"24390";"17160";"3820";"1855";"830";"340";"210";"95";"10870";"13520"
"M-N Zakelijke dienstverlening";"367720";"304535";"30240";"12610";"9540";"5015";"3340";"1225";"281440";"86280"
"M Specialistische zakelijke diensten";"304705";"260415";"22920";"8840";"6605";"3240";"1765";"505";"233180";"71525"
"N Verhuur en overige zakelijke diensten";"63015";"44120";"7320";"3770";"2935";"1775";"1575";"715";"48260";"14755"
"O-Q Overheid en zorg";"196370";"160635";"14115";"8200";"6225";"2775";"1525";"785";"171720";"24650"
"O Openbaar bestuur en overheidsdiensten";"750";"130";"10";"5";"20";"15";"45";"110";"95";"655"
"P Onderwijs";"66420";"57870";"4645";"1165";"715";"540";"445";"280";"60740";"5680"
"Q Gezondheids- en welzijnszorg";"129200";"102635";"9460";"7030";"5495";"2215";"1035";"400";"110885";"18310"
"R-U Cultuur, recreatie, overige diensten";"185140";"158725";"13050";"6610";"3935";"1525";"855";"260";"157280";"27865"
"R Cultuur, sport en recreatie";"92535";"80860";"6160";"2530";"1555";"735";"470";"125";"77940";"14595"
"S Overige dienstverlening";"92585";"77850";"6890";"4080";"2380";"785";"380";"135";"79330";"13260"
"T Huishoudens";"15";"10";"0";"0";"0";"0";"0";"0";"10";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
