"Bedrijven; bedrijfstak"
"Perioden: 2015 4e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1523635";"1136220";"173595";"88855";"62240";"30555";"18440";"6540";"1153875";"369760"
"Totaal (ex. financieel of nutsbedrijven)";"1438295";"1061745";"167985";"86615";"60715";"29835";"18035";"6395";"1146480";"291815"
"A Landbouw, bosbouw en visserij";"71960";"35275";"21610";"9990";"3220";"1205";"525";"90";"66315";"5645"
"B-E Nijverheid (geen bouw) en energie";"62260";"37245";"7010";"4445";"4860";"3450";"2725";"1220";"41380";"20885"
"B Delfstoffenwinning";"400";"250";"30";"20";"25";"20";"20";"15";"160";"240"
"C Industrie";"59375";"35510";"6700";"4255";"4660";"3305";"2595";"1160";"40205";"19170"
"D Energievoorziening";"985";"635";"130";"80";"50";"25";"25";"5";"360";"625"
"E Waterbedrijven en afvalbeheer";"1505";"850";"145";"90";"125";"100";"90";"40";"655";"850"
"F Bouwnijverheid";"149825";"120865";"13565";"6005";"4580";"2600";"1445";"455";"129910";"19915"
"G-I Handel, vervoer en horeca";"310635";"171795";"57415";"34280";"25415";"11640";"6585";"1945";"235795";"74840"
"G Handel";"223370";"130910";"39620";"23050";"16110";"7030";"4390";"1255";"165990";"57380"
"H Vervoer en opslag";"35935";"21205";"5835";"3025";"2395";"1465";"1140";"465";"27030";"8905"
"I Horeca";"51330";"19680";"11960";"8205";"6910";"3145";"1050";"225";"42775";"8555"
"J Informatie en communicatie";"80945";"65260";"7585";"2915";"2240";"1410";"945";"340";"61050";"19895"
"K Financiële dienstverlening";"82830";"72975";"5330";"2070";"1345";"595";"290";"95";"6370";"76460"
"L Verhuur en handel van onroerend goed";"24330";"17145";"3820";"1825";"815";"335";"210";"100";"10850";"13480"
"M-N Zakelijke dienstverlening";"363875";"300675";"30285";"12515";"9590";"5020";"3340";"1235";"277660";"86215"
"M Specialistische zakelijke diensten";"301565";"257250";"22930";"8805";"6630";"3275";"1775";"500";"230030";"71535"
"N Verhuur en overige zakelijke diensten";"62310";"43430";"7360";"3710";"2960";"1745";"1565";"735";"47630";"14680"
"O-Q Overheid en zorg";"193530";"157965";"13935";"8240";"6215";"2740";"1535";"795";"168985";"24545"
"O Openbaar bestuur en overheidsdiensten";"750";"125";"10";"10";"15";"20";"45";"110";"90";"660"
"P Onderwijs";"65340";"56835";"4605";"1170";"710";"530";"450";"275";"59655";"5685"
"Q Gezondheids- en welzijnszorg";"127435";"101005";"9320";"7065";"5495";"2190";"1040";"410";"109235";"18200"
"R-U Cultuur, recreatie, overige diensten";"183445";"157015";"13040";"6570";"3960";"1565";"840";"270";"155560";"27885"
"R Cultuur, sport en recreatie";"91470";"79840";"6145";"2480";"1560";"750";"470";"135";"76930";"14540"
"S Overige dienstverlening";"91950";"77160";"6895";"4090";"2395";"820";"370";"135";"78615";"13335"
"T Huishoudens";"15";"10";"0";"0";"5";"0";"0";"0";"10";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
