"Bedrijven; bedrijfstak"
"Perioden: 2012 3e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1358745";"969185";"171925";"88990";"63985";"31530";"19205";"6605";"1006220";"352525"
"Totaal (ex. financieel of nutsbedrijven)";"1277555";"899740";"165805";"86575";"62390";"30740";"18755";"6455";"999135";"278420"
"A Landbouw, bosbouw en visserij";"68440";"32645";"21540";"9525";"2920";"1165";"525";"90";"62900";"5540"
"B-E Nijverheid (geen bouw) en energie";"57295";"31680";"6830";"4580";"5065";"3675";"2920";"1255";"36855";"20445"
"B Delfstoffenwinning";"345";"195";"30";"30";"25";"20";"20";"15";"125";"220"
"C Industrie";"54925";"30425";"6560";"4390";"4885";"3520";"2770";"1185";"36000";"18925"
"D Energievoorziening";"770";"490";"115";"60";"30";"20";"20";"5";"295";"475"
"E Waterbedrijven en afvalbeheer";"1255";"570";"130";"100";"125";"115";"110";"50";"435";"820"
"F Bouwnijverheid";"139310";"107010";"14350";"6630";"5295";"3260";"1855";"530";"118785";"20525"
"G-I Handel, vervoer en horeca";"292420";"152350";"57470";"34510";"26455";"11560";"6595";"1935";"220830";"71595"
"G Handel";"212355";"117430";"39380";"23505";"17580";"7585";"4580";"1285";"156880";"55470"
"H Vervoer en opslag";"33015";"18100";"6000";"2915";"2405";"1535";"1180";"480";"24335";"8680"
"I Horeca";"47055";"16820";"12090";"8095";"6470";"2440";"840";"170";"39610";"7440"
"J Informatie en communicatie";"69260";"55040";"6910";"2670";"1990";"1295";"840";"270";"51940";"17315"
"K Financiële dienstverlening";"79135";"68365";"5870";"2250";"1435";"655";"325";"95";"6335";"72800"
"L Verhuur en handel van onroerend goed";"24675";"16320";"4660";"2095";"860";"325";"220";"105";"11390";"13285"
"M-N Zakelijke dienstverlening";"316555";"254230";"29095";"12315";"9790";"5380";"3445";"1200";"233125";"83435"
"M Specialistische zakelijke diensten";"260695";"217165";"21995";"8595";"6755";"3445";"1805";"515";"191020";"69680"
"N Verhuur en overige zakelijke diensten";"55860";"37065";"7100";"3720";"3035";"1940";"1640";"685";"42105";"13755"
"O-Q Overheid en zorg";"150630";"116630";"12735";"7990";"5930";"2640";"1570";"845";"130175";"20450"
"O Openbaar bestuur en overheidsdiensten";"785";"115";"10";"10";"10";"25";"50";"120";"75";"710"
"P Onderwijs";"49860";"42175";"3855";"1025";"660";"545";"480";"290";"44565";"5300"
"Q Gezondheids- en welzijnszorg";"99980";"74340";"8865";"6950";"5255";"2075";"1040";"435";"85535";"14440"
"R-U Cultuur, recreatie, overige diensten";"161030";"134920";"12465";"6415";"4245";"1570";"915";"280";"133890";"27140"
"R Cultuur, sport en recreatie";"78920";"67780";"5785";"2295";"1585";"730";"510";"145";"64685";"14235"
"S Overige dienstverlening";"82075";"67120";"6675";"4120";"2655";"840";"405";"135";"69185";"12890"
"T Huishoudens";"25";"15";"5";"0";"0";"0";"0";"0";"20";"5"
"U Extraterritoriale organisaties";"10";"5";"0";"0";"0";"0";"0";"0";"0";"10"
"Bron: CBS"
