"Bedrijven; bedrijfstak"
"Perioden: 2010 2e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1227405";"855400";"169010";"81305";"58195";"30320";"18900";"6775";"894850";"332555"
"Totaal (ex. financieel of nutsbedrijven)";"1153400";"791845";"163775";"79170";"56745";"29545";"18460";"6615";"887635";"265765"
"A Landbouw, bosbouw en visserij";"71355";"31080";"25600";"9740";"3115";"1225";"480";"65";"65275";"6085"
"B-E Nijverheid (geen bouw) en energie";"54880";"29095";"6940";"4525";"5000";"3740";"2905";"1310";"34290";"20590"
"B Delfstoffenwinning";"315";"155";"35";"20";"30";"25";"20";"10";"100";"210"
"C Industrie";"52690";"27985";"6660";"4365";"4850";"3595";"2745";"1250";"33555";"19130"
"D Energievoorziening";"675";"420";"125";"50";"15";"10";"20";"10";"270";"405"
"E Waterbedrijven en afvalbeheer";"1200";"535";"120";"90";"105";"110";"120";"40";"360";"840"
"F Bouwnijverheid";"134290";"101235";"14640";"6465";"5445";"3440";"2045";"580";"113555";"20740"
"G-I Handel, vervoer en horeca";"282090";"148920";"57175";"31465";"23650";"10990";"6435";"1980";"211885";"70205"
"G Handel";"205745";"114910";"38845";"21810";"15990";"7345";"4545";"1315";"151165";"54580"
"H Vervoer en opslag";"31355";"16795";"5980";"2765";"2270";"1510";"1175";"480";"22715";"8640"
"I Horeca";"44990";"17215";"12350";"6890";"5390";"2130";"715";"185";"38005";"6990"
"J Informatie en communicatie";"59635";"46925";"6270";"2250";"1760";"1160";"760";"265";"43905";"15730"
"K Financiële dienstverlening";"72110";"62590";"4985";"1990";"1330";"655";"305";"110";"6575";"65535"
"L Verhuur en handel van onroerend goed";"24610";"15805";"5090";"2115";"795";"345";"250";"110";"11845";"12765"
"M-N Zakelijke dienstverlening";"273430";"217105";"25780";"10870";"8895";"5110";"3350";"1195";"197225";"76205"
"M Specialistische zakelijke diensten";"223715";"184810";"19370";"7565";"5950";"3260";"1785";"520";"160360";"63355"
"N Verhuur en overige zakelijke diensten";"49715";"32290";"6410";"3300";"2945";"1850";"1565";"675";"36865";"12850"
"O-Q Overheid en zorg";"113505";"84785";"11095";"6335";"4545";"2095";"1435";"895";"94815";"18690"
"O Openbaar bestuur en overheidsdiensten";"770";"85";"5";"10";"15";"20";"50";"125";"55";"715"
"P Onderwijs";"37505";"30915";"3085";"795";"585";"495";"470";"320";"32620";"4885"
"Q Gezondheids- en welzijnszorg";"75235";"53785";"8010";"5530";"3945";"1580";"915";"450";"62140";"13090"
"R-U Cultuur, recreatie, overige diensten";"141500";"117860";"11435";"5555";"3660";"1560";"935";"260";"115485";"26015"
"R Cultuur, sport en recreatie";"67005";"56740";"5370";"2050";"1375";"735";"510";"135";"53240";"13765"
"S Overige dienstverlening";"74470";"61105";"6060";"3505";"2285";"825";"425";"130";"62235";"12235"
"T Huishoudens";"10";"5";"5";"0";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"10";"5";"0";"0";"0";"0";"0";"0";"0";"10"
"Bron: CBS"
