"Bedrijven; bedrijfstak"
"Perioden: 2007 1e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"987345";"619565";"158445";"81295";"60100";"32635";"20280";"7170";"702465";"284880"
"Totaal (ex. financieel of nutsbedrijven)";"928635";"572035";"153470";"78665";"58390";"31740";"19785";"6985";"693965";"234670"
"A Landbouw, bosbouw en visserij";"72770";"21025";"32590";"11890";"4400";"1950";"745";"130";"65465";"7310"
"B-E Nijverheid (geen bouw) en energie";"50020";"24155";"6370";"4385";"5095";"3960";"3215";"1360";"30365";"19655"
"B Delfstoffenwinning";"340";"185";"25";"25";"30";"25";"25";"15";"80";"260"
"C Industrie";"47965";"23165";"6150";"4230";"4930";"3800";"3055";"1290";"29685";"18280"
"D Energievoorziening";"565";"350";"100";"40";"15";"5";"10";"10";"280";"285"
"E Waterbedrijven en afvalbeheer";"1150";"460";"95";"95";"120";"130";"120";"45";"320";"830"
"F Bouwnijverheid";"101300";"70440";"12110";"6340";"5510";"3655";"2175";"615";"83155";"18145"
"G-I Handel, vervoer en horeca";"261255";"131295";"52360";"30975";"24195";"11940";"6920";"2045";"196470";"64785"
"G Handel";"190785";"101865";"35930";"21730";"16260";"7880";"4755";"1350";"140150";"50635"
"H Vervoer en opslag";"28050";"14290";"5310";"2415";"2335";"1580";"1230";"500";"20030";"8020"
"I Horeca";"42415";"15140";"11125";"6835";"5600";"2480";"935";"195";"36290";"6130"
"J Informatie en communicatie";"43235";"32455";"4705";"1990";"1625";"1125";"790";"275";"31065";"12170"
"K Financiële dienstverlening";"56945";"46705";"4775";"2490";"1565";"750";"360";"125";"7880";"49065"
"L Verhuur en handel van onroerend goed";"24005";"15495";"5025";"1720";"900";"395";"245";"120";"12370";"11640"
"M-N Zakelijke dienstverlening";"199200";"148110";"21210";"10275";"8580";"5210";"3435";"1245";"139885";"59320"
"M Specialistische zakelijke diensten";"161445";"126030";"16095";"7255";"5835";"3350";"1850";"560";"112450";"48995"
"N Verhuur en overige zakelijke diensten";"37755";"22080";"5115";"3020";"2745";"1865";"1585";"690";"27435";"10320"
"O-Q Overheid en zorg";"68935";"42465";"9235";"5870";"4435";"2030";"1460";"990";"51705";"17230"
"O Openbaar bestuur en overheidsdiensten";"785";"90";"10";"5";"15";"25";"55";"120";"25";"760"
"P Onderwijs";"25685";"19830";"2285";"705";"590";"515";"540";"365";"21190";"4500"
"Q Gezondheids- en welzijnszorg";"42460";"22545";"6940";"5160";"3830";"1490";"870";"505";"30490";"11970"
"R-U Cultuur, recreatie, overige diensten";"109675";"87425";"10060";"5360";"3795";"1610";"945";"265";"84110";"25565"
"R Cultuur, sport en recreatie";"47520";"38375";"4385";"1865";"1445";"740";"500";"130";"34895";"12625"
"S Overige dienstverlening";"62105";"49030";"5670";"3490";"2345";"865";"445";"135";"49195";"12915"
"T Huishoudens";"15";"10";"5";"0";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"30";"10";"0";"10";"5";"5";"0";"0";"5";"25"
"Bron: CBS"
