"Bedrijven; bedrijfstak"
"Perioden: 2014 3e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1437370";"1056430";"170600";"87585";"61680";"29695";"18025";"6325";"1075465";"361905"
"Totaal (ex. financieel of nutsbedrijven)";"1352300";"982470";"164750";"85335";"60135";"29000";"17605";"6190";"1068340";"283960"
"A Landbouw, bosbouw en visserij";"68350";"33040";"21025";"9535";"3030";"1140";"460";"75";"62690";"5660"
"B-E Nijverheid (geen bouw) en energie";"59795";"34850";"6885";"4465";"4930";"3460";"2705";"1220";"39110";"20680"
"B Delfstoffenwinning";"375";"220";"35";"20";"30";"15";"20";"15";"150";"230"
"C Industrie";"57165";"33340";"6570";"4295";"4725";"3320";"2570";"1155";"38105";"19060"
"D Energievoorziening";"920";"595";"145";"70";"35";"20";"20";"5";"340";"580"
"E Waterbedrijven en afvalbeheer";"1330";"690";"130";"80";"140";"100";"95";"45";"520";"810"
"F Bouwnijverheid";"141625";"112360";"13665";"6135";"4605";"2635";"1465";"450";"121570";"20050"
"G-I Handel, vervoer en horeca";"297885";"161250";"56555";"34155";"25260";"10930";"6350";"1870";"224820";"73065"
"G Handel";"214705";"123090";"38750";"23075";"16295";"6905";"4370";"1230";"158345";"56360"
"H Vervoer en opslag";"34525";"19965";"5850";"2945";"2345";"1425";"1130";"455";"25790";"8735"
"I Horeca";"48660";"18195";"11955";"8135";"6615";"2600";"845";"185";"40690";"7970"
"J Informatie en communicatie";"75845";"60825";"7325";"2805";"2110";"1330";"885";"325";"57030";"18815"
"K Financiële dienstverlening";"82795";"72660";"5570";"2100";"1370";"575";"305";"85";"6250";"76545"
"L Verhuur en handel van onroerend goed";"23620";"16615";"3755";"1755";"790";"310";"200";"100";"10385";"13235"
"M-N Zakelijke dienstverlening";"340815";"278755";"29855";"12115";"9460";"5120";"3285";"1120";"255250";"85560"
"M Specialistische zakelijke diensten";"281060";"237670";"22455";"8520";"6535";"3280";"1710";"480";"210005";"71055"
"N Verhuur en overige zakelijke diensten";"59755";"41090";"7400";"3595";"2925";"1840";"1575";"640";"45250";"14505"
"O-Q Overheid en zorg";"173470";"138845";"13320";"8015";"6135";"2675";"1520";"820";"152580";"20890"
"O Openbaar bestuur en overheidsdiensten";"765";"120";"10";"10";"10";"20";"55";"125";"85";"680"
"P Onderwijs";"58945";"50665";"4395";"1105";"710";"545";"450";"290";"53415";"5530"
"Q Gezondheids- en welzijnszorg";"113760";"88060";"8915";"6895";"5415";"2105";"1015";"405";"99075";"14680"
"R-U Cultuur, recreatie, overige diensten";"173170";"147230";"12640";"6500";"3985";"1515";"850";"265";"145770";"27400"
"R Cultuur, sport en recreatie";"85870";"74580";"5905";"2410";"1560";"740";"465";"125";"71525";"14345"
"S Overige dienstverlening";"87280";"72635";"6735";"4095";"2420";"775";"385";"140";"74235";"13045"
"T Huishoudens";"15";"10";"0";"0";"5";"0";"0";"0";"10";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
