"Bedrijven; bedrijfstak"
"Perioden: 2011 2e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1283690";"894405";"170450";"89050";"64600";"31790";"19375";"6650";"947365";"336325"
"Totaal (ex. financieel of nutsbedrijven)";"1208115";"830730";"164245";"86590";"62980";"31010";"18920";"6505";"940260";"267855"
"A Landbouw, bosbouw en visserij";"69685";"32030";"22965";"9780";"3150";"1200";"455";"70";"64170";"5515"
"B-E Nijverheid (geen bouw) en energie";"55410";"29435";"6805";"4660";"5165";"3815";"2950";"1270";"35095";"20310"
"B Delfstoffenwinning";"315";"165";"30";"30";"25";"20";"20";"15";"120";"195"
"C Industrie";"53185";"28320";"6520";"4480";"4995";"3670";"2805";"1205";"34300";"18885"
"D Energievoorziening";"695";"415";"130";"60";"25";"10";"20";"5";"285";"405"
"E Waterbedrijven en afvalbeheer";"1215";"540";"125";"90";"125";"115";"110";"45";"390";"825"
"F Bouwnijverheid";"134510";"101390";"14515";"6665";"5635";"3380";"1960";"565";"114030";"20480"
"G-I Handel, vervoer en horeca";"285930";"146195";"56615";"34790";"26545";"11715";"6650";"1930";"215640";"70290"
"G Handel";"208470";"113150";"38740";"23825";"17985";"7865";"4655";"1280";"153960";"54510"
"H Vervoer en opslag";"31955";"16985";"5980";"2940";"2410";"1535";"1225";"485";"23295";"8660"
"I Horeca";"45505";"16060";"11900";"8025";"6150";"2315";"770";"165";"38385";"7120"
"J Informatie en communicatie";"63835";"50280";"6570";"2525";"1920";"1225";"795";"270";"47700";"16135"
"K Financiële dienstverlening";"73640";"62700";"5945";"2310";"1470";"655";"330";"95";"6415";"67230"
"L Verhuur en handel van onroerend goed";"24290";"15455";"4955";"2225";"860";"330";"250";"115";"11585";"12705"
"M-N Zakelijke dienstverlening";"291655";"230735";"27950";"11875";"9910";"5430";"3465";"1180";"213260";"78395"
"M Specialistische zakelijke diensten";"239220";"196765";"21125";"8240";"6815";"3475";"1850";"515";"173910";"65310"
"N Verhuur en overige zakelijke diensten";"52435";"33970";"6825";"3635";"3095";"1955";"1615";"670";"39350";"13085"
"O-Q Overheid en zorg";"133750";"101050";"12055";"7815";"5640";"2420";"1560";"870";"114325";"19425"
"O Openbaar bestuur en overheidsdiensten";"785";"105";"10";"10";"10";"20";"50";"115";"65";"720"
"P Onderwijs";"43390";"36165";"3450";"970";"645";"535";"485";"305";"38360";"5030"
"Q Gezondheids- en welzijnszorg";"89575";"64780";"8590";"6840";"4990";"1865";"1025";"455";"75900";"13680"
"R-U Cultuur, recreatie, overige diensten";"150980";"125125";"12070";"6405";"4300";"1620";"950";"285";"125140";"25840"
"R Cultuur, sport en recreatie";"73590";"62660";"5600";"2240";"1575";"760";"510";"145";"59885";"13710"
"S Overige dienstverlening";"77365";"62450";"6465";"4160";"2720";"855";"440";"140";"65240";"12120"
"T Huishoudens";"15";"10";"5";"0";"0";"0";"0";"0";"15";"0"
"U Extraterritoriale organisaties";"10";"5";"0";"0";"0";"0";"0";"0";"0";"10"
"Bron: CBS"
