"Bedrijven; bedrijfstak"
"Perioden: 2007 4e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1057860";"687525";"160035";"82930";"59680";"32620";"20200";"7040";"760030";"297830"
"Totaal (ex. financieel of nutsbedrijven)";"996320";"638455";"154205";"79925";"57940";"31720";"19680";"6845";"751715";"244610"
"A Landbouw, bosbouw en visserij";"71820";"22325";"30840";"11605";"4285";"1875";"710";"120";"64390";"7430"
"B-E Nijverheid (geen bouw) en energie";"52245";"26505";"6430";"4460";"5005";"3925";"3135";"1330";"32330";"19915"
"B Delfstoffenwinning";"315";"160";"25";"25";"25";"25";"25";"10";"80";"235"
"C Industrie";"50155";"25480";"6200";"4295";"4840";"3765";"2980";"1260";"31620";"18535"
"D Energievoorziening";"605";"380";"105";"40";"20";"10";"15";"10";"285";"325"
"E Waterbedrijven en afvalbeheer";"1165";"480";"95";"100";"120";"130";"120";"50";"340";"825"
"F Bouwnijverheid";"115460";"84110";"12455";"6505";"5515";"3650";"2165";"610";"96460";"19000"
"G-I Handel, vervoer en horeca";"273005";"142885";"52945";"31190";"23880";"11830";"6800";"1980";"206170";"66835"
"G Handel";"199620";"110760";"36395";"21735";"15995";"7765";"4665";"1315";"147410";"52210"
"H Vervoer en opslag";"29415";"15495";"5405";"2500";"2320";"1595";"1220";"480";"21180";"8235"
"I Horeca";"43970";"16630";"11145";"6955";"5565";"2470";"915";"185";"37580";"6390"
"J Informatie en communicatie";"48420";"36960";"5180";"2145";"1640";"1140";"830";"265";"35285";"13135"
"K Financiële dienstverlening";"59720";"48185";"5625";"2860";"1590";"760";"385";"135";"7675";"52045"
"L Verhuur en handel van onroerend goed";"24840";"16510";"4845";"1735";"885";"400";"240";"125";"12810";"12030"
"M-N Zakelijke dienstverlening";"220380";"166860";"22460";"11075";"8635";"5385";"3550";"1265";"156605";"63775"
"M Specialistische zakelijke diensten";"178715";"141625";"17030";"7890";"5820";"3435";"1860";"570";"126050";"52660"
"N Verhuur en overige zakelijke diensten";"41670";"25235";"5430";"3180";"2810";"1945";"1690";"700";"30555";"11115"
"O-Q Overheid en zorg";"74455";"48085";"8990";"5995";"4490";"2060";"1445";"935";"56840";"17615"
"O Openbaar bestuur en overheidsdiensten";"760";"75";"10";"5";"15";"15";"50";"115";"40";"720"
"P Onderwijs";"28065";"22145";"2375";"740";"590";"495";"515";"335";"23445";"4615"
"Q Gezondheids- en welzijnszorg";"45635";"25865";"6605";"5250";"3880";"1550";"880";"490";"33355";"12280"
"R-U Cultuur, recreatie, overige diensten";"117515";"95100";"10265";"5365";"3755";"1595";"935";"270";"91470";"26045"
"R Cultuur, sport en recreatie";"50650";"41365";"4480";"1895";"1425";"760";"500";"130";"37690";"12955"
"S Overige dienstverlening";"66820";"53715";"5780";"3465";"2320";"835";"435";"140";"53760";"13060"
"T Huishoudens";"15";"10";"5";"0";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"35";"10";"5";"5";"10";"5";"5";"0";"10";"25"
"Bron: CBS"
