"Bedrijven; bedrijfstak"
"Perioden: 2017 3e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1629995";"1234215";"178860";"89810";"62720";"31230";"18980";"6705";"1236600";"393395"
"Totaal (ex. financieel of nutsbedrijven)";"1536015";"1152155";"172345";"87560";"61140";"30495";"18545";"6560";"1228680";"307335"
"A Landbouw, bosbouw en visserij";"73605";"35990";"21945";"10795";"3140";"1115";"485";"85";"67545";"6060"
"B-E Nijverheid (geen bouw) en energie";"65205";"40055";"7105";"4440";"4830";"3455";"2735";"1250";"43685";"21520"
"B Delfstoffenwinning";"415";"270";"35";"20";"25";"15";"15";"15";"170";"245"
"C Industrie";"62035";"38065";"6790";"4240";"4625";"3305";"2600";"1185";"42410";"19625"
"D Energievoorziening";"1095";"755";"135";"75";"45";"25";"25";"5";"355";"740"
"E Waterbedrijven en afvalbeheer";"1660";"965";"145";"105";"140";"105";"95";"45";"750";"910"
"F Bouwnijverheid";"159920";"130510";"13895";"6005";"4565";"2635";"1515";"465";"139220";"20700"
"G-I Handel, vervoer en horeca";"321175";"181905";"58435";"33720";"25040";"11675";"6730";"2040";"243780";"77395"
"G Handel";"226720";"134880";"39575";"22500";"15760";"7165";"4430";"1360";"168095";"58625"
"H Vervoer en opslag";"40075";"25090";"6110";"3000";"2360";"1450";"1200";"450";"30740";"9335"
"I Horeca";"54375";"21930";"12750";"8220";"6920";"3060";"1100";"230";"44940";"9435"
"J Informatie en communicatie";"86630";"70370";"7640";"2925";"2430";"1525";"1105";"340";"64885";"21745"
"K Financiële dienstverlening";"91195";"80320";"6230";"2070";"1395";"605";"320";"90";"6800";"84400"
"L Verhuur en handel van onroerend goed";"25925";"18210";"3965";"2060";"930";"360";"225";"100";"11275";"14655"
"M-N Zakelijke dienstverlening";"389100";"324080";"31205";"12770";"9765";"5295";"3440";"1265";"297535";"91565"
"M Specialistische zakelijke diensten";"321405";"276040";"23505";"8935";"6735";"3410";"1820";"525";"245960";"75445"
"N Verhuur en overige zakelijke diensten";"67690";"48040";"7700";"3835";"3030";"1885";"1620";"740";"51570";"16120"
"O-Q Overheid en zorg";"218970";"181565";"14875";"8405";"6610";"3020";"1575";"790";"192840";"26130"
"O Openbaar bestuur en overheidsdiensten";"785";"165";"5";"10";"30";"30";"40";"95";"80";"705"
"P Onderwijs";"75825";"66710";"5095";"1260";"720";"550";"430";"275";"69875";"5945"
"Q Gezondheids- en welzijnszorg";"142360";"114685";"9770";"7135";"5860";"2440";"1105";"415";"122880";"19480"
"R-U Cultuur, recreatie, overige diensten";"198270";"171215";"13565";"6615";"4015";"1540";"860";"280";"169040";"29225"
"R Cultuur, sport en recreatie";"99595";"87570";"6440";"2580";"1560";"745";"465";"140";"84530";"15065"
"S Overige dienstverlening";"98645";"83620";"7120";"4040";"2450";"795";"395";"140";"84495";"14150"
"T Huishoudens";"25";"15";"5";"0";"0";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
