"Bedrijven; bedrijfstak"
"Perioden: 2015 1e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1468250";"1084065";"172055";"88135";"61940";"30345";"18235";"6380";"1108455";"359795"
"Totaal (ex. financieel of nutsbedrijven)";"1384840";"1011520";"166395";"85880";"60445";"29635";"17845";"6245";"1101250";"283595"
"A Landbouw, bosbouw en visserij";"69760";"33505";"21220";"9715";"3295";"1410";"485";"80";"64165";"5595"
"B-E Nijverheid (geen bouw) en energie";"60625";"35705";"6915";"4490";"4865";"3415";"2740";"1190";"40045";"20580"
"B Delfstoffenwinning";"400";"245";"35";"20";"30";"15";"20";"15";"160";"240"
"C Industrie";"57915";"34120";"6605";"4320";"4670";"3275";"2600";"1125";"38975";"18940"
"D Energievoorziening";"935";"595";"140";"70";"40";"30";"20";"5";"355";"585"
"E Waterbedrijven en afvalbeheer";"1375";"740";"130";"80";"125";"100";"95";"40";"560";"815"
"F Bouwnijverheid";"144900";"115685";"13635";"6070";"4610";"2640";"1495";"445";"125045";"19850"
"G-I Handel, vervoer en horeca";"303855";"165975";"57165";"34205";"25215";"11380";"6475";"1920";"230335";"73520"
"G Handel";"218835";"126550";"39440";"23060";"16190";"6985";"4370";"1250";"162290";"56545"
"H Vervoer en opslag";"35210";"20530";"5830";"3010";"2385";"1455";"1135";"475";"26430";"8780"
"I Horeca";"49815";"18895";"11900";"8135";"6640";"2940";"970";"195";"41615";"8195"
"J Informatie en communicatie";"77720";"62370";"7495";"2840";"2155";"1380";"930";"315";"58785";"18935"
"K Financiële dienstverlening";"81075";"71195";"5390";"2095";"1325";"580";"275";"90";"6285";"74795"
"L Verhuur en handel van onroerend goed";"23835";"16775";"3780";"1785";"790";"325";"200";"95";"10615";"13220"
"M-N Zakelijke dienstverlening";"348975";"286720";"29915";"12245";"9500";"4960";"3295";"1190";"264080";"84895"
"M Specialistische zakelijke diensten";"288170";"244580";"22675";"8595";"6535";"3190";"1715";"480";"217845";"70325"
"N Verhuur en overige zakelijke diensten";"60805";"42135";"7240";"3645";"2965";"1765";"1580";"710";"46235";"14570"
"O-Q Overheid en zorg";"180005";"144920";"13565";"8155";"6225";"2720";"1505";"795";"159120";"20885"
"O Openbaar bestuur en overheidsdiensten";"765";"125";"10";"10";"15";"25";"50";"120";"95";"670"
"P Onderwijs";"61315";"52955";"4470";"1130";"695";"570";"450";"285";"55745";"5570"
"Q Gezondheids- en welzijnszorg";"117920";"91835";"9085";"7015";"5520";"2130";"1005";"385";"103280";"14640"
"R-U Cultuur, recreatie, overige diensten";"177500";"151220";"12980";"6535";"3960";"1530";"840";"260";"149985";"27520"
"R Cultuur, sport en recreatie";"88340";"76785";"6090";"2490";"1545";"740";"475";"125";"73875";"14460"
"S Overige dienstverlening";"89145";"74420";"6885";"4045";"2415";"795";"365";"135";"76095";"13050"
"T Huishoudens";"15";"10";"0";"0";"5";"0";"0";"0";"10";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
