"Bedrijven; bedrijfstak"
"Perioden: 2016 2e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1549680";"1162250";"173790";"88935";"62180";"30370";"18405";"6535";"1173915";"375765"
"Totaal (ex. financieel of nutsbedrijven)";"1461620";"1085095";"168165";"86695";"60625";"29645";"18005";"6385";"1166390";"295230"
"A Landbouw, bosbouw en visserij";"72750";"35900";"21835";"10120";"3160";"1110";"490";"85";"66925";"5825"
"B-E Nijverheid (geen bouw) en energie";"62975";"38085";"6960";"4455";"4810";"3400";"2735";"1225";"41930";"21045"
"B Delfstoffenwinning";"410";"255";"30";"25";"25";"20";"20";"15";"160";"250"
"C Industrie";"59990";"36250";"6660";"4260";"4615";"3255";"2600";"1160";"40735";"19255"
"D Energievoorziening";"1010";"680";"130";"75";"45";"25";"25";"10";"350";"660"
"E Waterbedrijven en afvalbeheer";"1560";"900";"140";"100";"130";"100";"90";"45";"685";"875"
"F Bouwnijverheid";"152625";"123815";"13545";"5975";"4540";"2590";"1400";"445";"132680";"19940"
"G-I Handel, vervoer en horeca";"312950";"174370";"57580";"34095";"25360";"11490";"6495";"1980";"237695";"75255"
"G Handel";"223730";"131715";"39420";"22750";"16115";"7020";"4380";"1310";"166250";"57480"
"H Vervoer en opslag";"37040";"22170";"5840";"3095";"2430";"1470";"1160";"460";"28020";"9020"
"I Horeca";"52180";"20485";"12320";"8250";"6815";"2995";"955";"210";"43425";"8755"
"J Informatie en communicatie";"82695";"66915";"7525";"2930";"2295";"1445";"985";"330";"62390";"20310"
"K Financiële dienstverlening";"85465";"75565";"5350";"2065";"1375";"600";"285";"95";"6480";"78985"
"L Verhuur en handel van onroerend goed";"24715";"17400";"3815";"1885";"865";"355";"225";"95";"10940";"13775"
"M-N Zakelijke dienstverlening";"368100";"305245";"29930";"12520";"9560";"5025";"3405";"1210";"280560";"87545"
"M Specialistische zakelijke diensten";"304695";"260765";"22630";"8720";"6595";"3285";"1790";"495";"232270";"72430"
"N Verhuur en overige zakelijke diensten";"63405";"44480";"7295";"3800";"2965";"1740";"1620";"715";"48290";"15115"
"O-Q Overheid en zorg";"199565";"163655";"14130";"8265";"6240";"2835";"1530";"810";"174765";"24800"
"O Openbaar bestuur en overheidsdiensten";"720";"105";"5";"10";"15";"15";"45";"110";"65";"655"
"P Onderwijs";"67935";"59295";"4705";"1210";"695";"555";"435";"290";"62220";"5715"
"Q Gezondheids- en welzijnszorg";"130910";"104255";"9420";"7050";"5525";"2265";"1050";"410";"112480";"18430"
"R-U Cultuur, recreatie, overige diensten";"187835";"161310";"13110";"6620";"3975";"1520";"850";"265";"159550";"28285"
"R Cultuur, sport en recreatie";"93980";"82305";"6220";"2500";"1545";"720";"465";"130";"79215";"14770"
"S Overige dienstverlening";"93835";"78995";"6885";"4120";"2430";"800";"385";"135";"80330";"13510"
"T Huishoudens";"15";"10";"0";"0";"0";"0";"0";"0";"10";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
