"Bedrijven; bedrijfstak"
"Perioden: 2011 4e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1318410";"928125";"170305";"89070";"64995";"32120";"19515";"6815";"979210";"339200"
"Totaal (ex. financieel of nutsbedrijven)";"1241600";"863110";"164220";"86625";"63370";"31335";"19050";"6655";"972030";"269570"
"A Landbouw, bosbouw en visserij";"69560";"32005";"22320";"9955";"3275";"1330";"545";"90";"64070";"5490"
"B-E Nijverheid (geen bouw) en energie";"56205";"30340";"6850";"4605";"5115";"3755";"2930";"1295";"35835";"20370"
"B Delfstoffenwinning";"315";"170";"30";"25";"25";"20";"15";"15";"125";"195"
"C Industrie";"53930";"29185";"6560";"4435";"4935";"3605";"2780";"1225";"35015";"18915"
"D Energievoorziening";"720";"440";"120";"55";"30";"20";"20";"10";"285";"435"
"E Waterbedrijven en afvalbeheer";"1235";"545";"140";"85";"120";"115";"115";"45";"410";"830"
"F Bouwnijverheid";"137355";"104330";"14460";"6650";"5610";"3395";"1940";"575";"116870";"20485"
"G-I Handel, vervoer en horeca";"289345";"149330";"56520";"34525";"26755";"11990";"6755";"1955";"218960";"70385"
"G Handel";"211010";"115935";"38805";"23725";"17845";"7780";"4635";"1290";"156390";"54620"
"H Vervoer en opslag";"32345";"17345";"6035";"2925";"2420";"1520";"1215";"475";"23735";"8610"
"I Horeca";"45995";"16055";"11680";"7875";"6485";"2690";"900";"190";"38840";"7155"
"J Informatie en communicatie";"66385";"52590";"6705";"2585";"1930";"1245";"805";"280";"49970";"16415"
"K Financiële dienstverlening";"74825";"64015";"5820";"2300";"1470";"650";"335";"105";"6470";"68355"
"L Verhuur en handel van onroerend goed";"24375";"15725";"4860";"2120";"885";"340";"240";"110";"11540";"12835"
"M-N Zakelijke dienstverlening";"302775";"241230";"28310";"12045";"9935";"5360";"3460";"1270";"223380";"79395"
"M Specialistische zakelijke diensten";"248805";"205960";"21470";"8370";"6810";"3385";"1820";"535";"182560";"66245"
"N Verhuur en overige zakelijke diensten";"53970";"35270";"6845";"3670";"3125";"1975";"1640";"735";"40820";"13150"
"O-Q Overheid en zorg";"141835";"108730";"12285";"7865";"5760";"2445";"1555";"855";"122295";"19540"
"O Openbaar bestuur en overheidsdiensten";"785";"105";"10";"10";"15";"25";"50";"115";"70";"715"
"P Onderwijs";"46280";"38895";"3570";"990";"675";"515";"495";"300";"41200";"5080"
"Q Gezondheids- en welzijnszorg";"94770";"69735";"8700";"6870";"5070";"1910";"1010";"440";"81025";"13745"
"R-U Cultuur, recreatie, overige diensten";"155750";"129825";"12170";"6420";"4260";"1615";"950";"280";"129820";"25930"
"R Cultuur, sport en recreatie";"75970";"64960";"5585";"2295";"1590";"765";"525";"140";"62345";"13620"
"S Overige dienstverlening";"79760";"64850";"6580";"4120";"2670";"845";"420";"140";"67460";"12295"
"T Huishoudens";"15";"10";"5";"0";"0";"0";"0";"0";"15";"0"
"U Extraterritoriale organisaties";"10";"5";"0";"0";"0";"0";"0";"0";"0";"10"
"Bron: CBS"
