"Bedrijven; bedrijfstak"
"Perioden: 2017 1e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1587250";"1195400";"175640";"89160";"62830";"31330";"18880";"6625";"1209275";"377975"
"Totaal (ex. financieel of nutsbedrijven)";"1498915";"1118680";"169305";"86950";"61280";"30610";"18450";"6485";"1201655";"297260"
"A Landbouw, bosbouw en visserij";"73325";"35605";"21670";"10630";"3435";"1360";"480";"95";"67530";"5800"
"B-E Nijverheid (geen bouw) en energie";"64045";"39095";"6920";"4430";"4870";"3430";"2760";"1210";"42925";"21120"
"B Delfstoffenwinning";"410";"260";"25";"25";"25";"20";"20";"15";"165";"245"
"C Industrie";"60995";"37215";"6620";"4235";"4650";"3290";"2620";"1150";"41690";"19305"
"D Energievoorziening";"1035";"700";"130";"70";"50";"25";"25";"5";"350";"685"
"E Waterbedrijven en afvalbeheer";"1600";"920";"145";"105";"145";"95";"100";"45";"720";"880"
"F Bouwnijverheid";"156680";"127635";"13615";"5980";"4570";"2630";"1465";"470";"136595";"20085"
"G-I Handel, vervoer en horeca";"316490";"177690";"57675";"33710";"25215";"11750";"6815";"2025";"240910";"75580"
"G Handel";"224145";"132660";"39210";"22575";"15845";"7025";"4465";"1330";"166790";"57355"
"H Vervoer en opslag";"38985";"24060";"5995";"3030";"2370";"1465";"1190";"460";"29870";"9115"
"I Horeca";"53365";"20970";"12470";"8105";"6995";"3265";"1160";"235";"44250";"9110"
"J Informatie en communicatie";"84235";"68290";"7515";"2915";"2335";"1515";"1045";"340";"63510";"20725"
"K Financiële dienstverlening";"85670";"75080";"6055";"2040";"1350";"600";"305";"95";"6535";"79135"
"L Verhuur en handel van onroerend goed";"25055";"17540";"3880";"1975";"900";"375";"220";"90";"11065";"13990"
"M-N Zakelijke dienstverlening";"377585";"313760";"30420";"12625";"9710";"5170";"3360";"1260";"289770";"87820"
"M Specialistische zakelijke diensten";"311920";"267485";"22980";"8825";"6650";"3285";"1760";"510";"239570";"72350"
"N Verhuur en overige zakelijke diensten";"65670";"46275";"7445";"3805";"3060";"1890";"1600";"750";"50200";"15470"
"O-Q Overheid en zorg";"211115";"174395";"14535";"8295";"6470";"2970";"1555";"770";"185745";"25370"
"O Openbaar bestuur en overheidsdiensten";"790";"175";"5";"10";"20";"35";"35";"95";"80";"715"
"P Onderwijs";"72165";"63360";"4880";"1190";"720";"545";"435";"275";"66385";"5780"
"Q Gezondheids- en welzijnszorg";"138160";"110860";"9650";"7095";"5730";"2390";"1085";"400";"119280";"18875"
"R-U Cultuur, recreatie, overige diensten";"193045";"166305";"13355";"6560";"3975";"1530";"875";"265";"164690";"28355"
"R Cultuur, sport en recreatie";"96700";"84785";"6365";"2560";"1525";"755";"480";"135";"81900";"14800"
"S Overige dienstverlening";"96320";"81500";"6985";"4000";"2445";"775";"395";"130";"82780";"13545"
"T Huishoudens";"20";"15";"0";"0";"5";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
