"Bedrijven; bedrijfstak"
"Perioden: 2009 4e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1211460";"841620";"169290";"82575";"54950";"30525";"18635";"6490";"881655";"329805"
"Totaal (ex. financieel of nutsbedrijven)";"1139350";"783955";"160585";"79910";"53530";"29745";"18175";"6335";"874195";"265160"
"A Landbouw, bosbouw en visserij";"74905";"28485";"29415";"11330";"3575";"1450";"525";"75";"67905";"7000"
"B-E Nijverheid (geen bouw) en energie";"54955";"29715";"6660";"4600";"4765";"3700";"2880";"1250";"34295";"20660"
"B Delfstoffenwinning";"295";"145";"30";"20";"25";"20";"25";"10";"80";"215"
"C Industrie";"52815";"28600";"6405";"4455";"4625";"3555";"2725";"1195";"33585";"19230"
"D Energievoorziening";"650";"420";"110";"40";"15";"15";"15";"10";"285";"365"
"E Waterbedrijven en afvalbeheer";"1195";"555";"115";"90";"100";"110";"115";"35";"350";"845"
"F Bouwnijverheid";"135000";"104105";"12945";"6470";"5135";"3420";"1955";"550";"114190";"20810"
"G-I Handel, vervoer en horeca";"282365";"156085";"53490";"30770";"21665";"10925";"6265";"1790";"211955";"70410"
"G Handel";"206025";"120000";"36460";"21120";"14560";"7375";"4360";"1225";"151215";"54815"
"H Vervoer en opslag";"31245";"17385";"5665";"2585";"2170";"1495";"1150";"440";"22605";"8640"
"I Horeca";"45095";"18700";"11365";"7060";"4940";"2055";"755";"125";"38135";"6960"
"J Informatie en communicatie";"58525";"46505";"5750";"2125";"1630";"1215";"770";"260";"42940";"15580"
"K Financiële dienstverlening";"70240";"56675";"8480";"2530";"1300";"650";"330";"110";"6815";"63425"
"L Verhuur en handel van onroerend goed";"26265";"17350";"5450";"1950";"765";"335";"220";"95";"13725";"12545"
"M-N Zakelijke dienstverlening";"267795";"211725";"26045";"10900";"8360";"5125";"3375";"1185";"192950";"74845"
"M Specialistische zakelijke diensten";"219020";"179760";"20080";"7505";"5550";"3285";"1810";"550";"157015";"62005"
"N Verhuur en overige zakelijke diensten";"48770";"31965";"5965";"3400";"2815";"1840";"1565";"635";"35930";"12840"
"O-Q Overheid en zorg";"104500";"76300";"10410";"6525";"4430";"2175";"1420";"905";"85740";"18760"
"O Openbaar bestuur en overheidsdiensten";"770";"85";"10";"5";"15";"15";"50";"115";"55";"720"
"P Onderwijs";"35990";"29880";"2675";"735";"550";"530";"470";"315";"31060";"4930"
"Q Gezondheids- en welzijnszorg";"67740";"46335";"7725";"5780";"3865";"1630";"895";"470";"54625";"13115"
"R-U Cultuur, recreatie, overige diensten";"136910";"114670";"10650";"5370";"3320";"1530";"890";"265";"111145";"25765"
"R Cultuur, sport en recreatie";"63490";"53860";"4870";"1980";"1350";"740";"475";"135";"50135";"13355"
"S Overige dienstverlening";"73400";"60800";"5780";"3385";"1970";"785";"415";"130";"61000";"12400"
"T Huishoudens";"15";"10";"0";"5";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"10";"5";"0";"0";"0";"5";"0";"0";"0";"10"
"Bron: CBS"
