"Bedrijven; bedrijfstak"
"Perioden: 2012 1e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1341545";"947780";"173150";"89625";"65020";"32270";"19555";"6710";"996305";"345240"
"Totaal (ex. financieel of nutsbedrijven)";"1263215";"881280";"166980";"87200";"63400";"31505";"19090";"6560";"989085";"274130"
"A Landbouw, bosbouw en visserij";"68805";"32055";"21785";"9650";"3155";"1450";"585";"90";"63355";"5450"
"B-E Nijverheid (geen bouw) en energie";"57290";"31260";"6985";"4700";"5140";"3705";"2935";"1260";"36740";"20550"
"B Delfstoffenwinning";"325";"180";"25";"30";"25";"15";"20";"15";"120";"200"
"C Industrie";"54975";"30060";"6700";"4520";"4970";"3560";"2780";"1195";"35900";"19075"
"D Energievoorziening";"745";"460";"130";"55";"30";"15";"15";"5";"295";"450"
"E Waterbedrijven en afvalbeheer";"1250";"560";"130";"95";"120";"115";"125";"45";"420";"830"
"F Bouwnijverheid";"139095";"105840";"14660";"6715";"5565";"3405";"1955";"555";"118485";"20610"
"G-I Handel, vervoer en horeca";"293020";"151475";"57790";"34890";"26715";"11910";"6735";"1975";"221790";"71230"
"G Handel";"213435";"117415";"39575";"23920";"17815";"7780";"4605";"1325";"158175";"55260"
"H Vervoer en opslag";"32745";"17625";"6120";"2915";"2450";"1520";"1225";"470";"24075";"8675"
"I Horeca";"46840";"16435";"12090";"8055";"6445";"2610";"900";"180";"39545";"7295"
"J Informatie en communicatie";"67960";"53810";"6935";"2655";"1965";"1275";"810";"270";"51145";"16815"
"K Financiële dienstverlening";"76305";"65465";"5905";"2275";"1470";"635";"325";"100";"6490";"69820"
"L Verhuur en handel van onroerend goed";"24595";"15980";"4875";"2095";"875";"335";"235";"100";"11620";"12975"
"M-N Zakelijke dienstverlening";"309690";"247245";"29080";"12160";"9975";"5385";"3475";"1225";"228485";"81205"
"M Specialistische zakelijke diensten";"254665";"211205";"22025";"8465";"6830";"3380";"1830";"505";"186920";"67745"
"N Verhuur en overige zakelijke diensten";"55025";"36040";"7055";"3695";"3145";"2005";"1645";"720";"41565";"13460"
"O-Q Overheid en zorg";"146070";"112240";"12650";"7980";"5885";"2565";"1555";"860";"126040";"20030"
"O Openbaar bestuur en overheidsdiensten";"790";"110";"10";"10";"10";"30";"45";"115";"75";"715"
"P Onderwijs";"47775";"40210";"3725";"1035";"650";"560";"470";"300";"42590";"5185"
"Q Gezondheids- en welzijnszorg";"97505";"71920";"8920";"6935";"5225";"1980";"1040";"445";"83375";"14130"
"R-U Cultuur, recreatie, overige diensten";"158720";"132415";"12480";"6510";"4270";"1605";"940";"280";"132165";"26555"
"R Cultuur, sport en recreatie";"77690";"66380";"5825";"2360";"1590";"780";"515";"140";"63665";"14025"
"S Overige dienstverlening";"81000";"66015";"6650";"4145";"2680";"825";"425";"140";"68480";"12515"
"T Huishoudens";"20";"10";"5";"0";"0";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"10";"10";"0";"0";"0";"0";"0";"0";"0";"10"
"Bron: CBS"
