"Bedrijven; bedrijfstak"
"Perioden: 2015 3e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1506225";"1121640";"173160";"88570";"61460";"29795";"18045";"6410";"1133230";"372995"
"Totaal (ex. financieel of nutsbedrijven)";"1418740";"1045045";"167510";"86345";"59940";"29070";"17635";"6280";"1125925";"292815"
"A Landbouw, bosbouw en visserij";"70880";"34590";"21690";"9925";"3000";"1095";"455";"80";"65130";"5750"
"B-E Nijverheid (geen bouw) en energie";"61605";"36725";"6935";"4440";"4855";"3430";"2705";"1200";"40750";"20855"
"B Delfstoffenwinning";"395";"250";"25";"20";"30";"15";"20";"10";"160";"235"
"C Industrie";"58780";"35040";"6630";"4260";"4645";"3290";"2570";"1145";"39625";"19160"
"D Energievoorziening";"965";"615";"140";"75";"50";"25";"25";"5";"350";"615"
"E Waterbedrijven en afvalbeheer";"1460";"815";"140";"90";"125";"100";"90";"40";"615";"845"
"F Bouwnijverheid";"147420";"118655";"13550";"5940";"4545";"2570";"1410";"440";"127410";"20005"
"G-I Handel, vervoer en horeca";"307690";"169810";"57495";"34355";"25045";"11095";"6445";"1890";"232975";"74715"
"G Handel";"221605";"129355";"39590";"23140";"15965";"6910";"4395";"1240";"164185";"57420"
"H Vervoer en opslag";"35650";"21040";"5815";"2975";"2385";"1435";"1135";"465";"26730";"8920"
"I Horeca";"50440";"19415";"12090";"8240";"6695";"2755";"915";"185";"42065";"8375"
"J Informatie en communicatie";"79730";"64235";"7455";"2855";"2235";"1410";"955";"325";"59985";"19740"
"K Financiële dienstverlening";"85040";"75145";"5370";"2065";"1345";"600";"290";"85";"6325";"78710"
"L Verhuur en handel van onroerend goed";"24335";"17175";"3830";"1800";"805";"335";"200";"105";"10720";"13615"
"M-N Zakelijke dienstverlening";"358850";"296275";"30095";"12370";"9485";"4990";"3265";"1215";"271690";"87160"
"M Specialistische zakelijke diensten";"297570";"253535";"22810";"8740";"6600";"3245";"1730";"495";"225105";"72465"
"N Verhuur en overige zakelijke diensten";"61280";"42740";"7285";"3630";"2880";"1750";"1535";"720";"46585";"14695"
"O-Q Overheid en zorg";"189275";"153875";"13775";"8250";"6230";"2740";"1500";"795";"164965";"24310"
"O Openbaar bestuur en overheidsdiensten";"755";"130";"5";"10";"15";"20";"50";"105";"90";"665"
"P Onderwijs";"63990";"55545";"4555";"1145";"700";"540";"445";"285";"58280";"5705"
"Q Gezondheids- en welzijnszorg";"124535";"98200";"9215";"7095";"5515";"2180";"1005";"405";"106595";"17940"
"R-U Cultuur, recreatie, overige diensten";"181400";"155155";"12965";"6570";"3920";"1525";"815";"275";"153270";"28130"
"R Cultuur, sport en recreatie";"90435";"78880";"6130";"2485";"1530";"740";"445";"140";"75760";"14675"
"S Overige dienstverlening";"90945";"76260";"6835";"4085";"2390";"785";"370";"140";"77500";"13445"
"T Huishoudens";"15";"10";"0";"0";"5";"0";"0";"0";"10";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
