"Bedrijven; bedrijfstak"
"Perioden: 2019 3e kwartaal**"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1792145";"1386030";"184350";"89260";"64935";"32535";"20050";"7070";"1375270";"416870"
"Totaal (ex. financieel of nutsbedrijven)";"1693410";"1299150";"177950";"87055";"63310";"31775";"19600";"6910";"1366655";"326755"
"A Landbouw, bosbouw en visserij";"74480";"36970";"21400";"10955";"3315";"1115";"550";"110";"67800";"6680"
"B-E Nijverheid (geen bouw) en energie";"71580";"45955";"7450";"4475";"4790";"3450";"2780";"1265";"48090";"23495"
"B Delfstoffenwinning";"445";"310";"25";"20";"20";"20";"15";"15";"190";"255"
"C Industrie";"67720";"43285";"7140";"4270";"4585";"3310";"2645";"1190";"46405";"21315"
"D Energievoorziening";"1415";"1070";"145";"70";"40";"25";"20";"10";"445";"965"
"E Waterbedrijven en afvalbeheer";"2005";"1290";"140";"115";"150";"95";"100";"50";"1045";"960"
"F Bouwnijverheid";"184835";"153905";"14940";"5925";"4830";"2720";"1635";"515";"162800";"22035"
"G-I Handel, vervoer en horeca";"337990";"197145";"59450";"32720";"25600";"12085";"7050";"2145";"257605";"80385"
"G Handel";"233065";"141215";"40015";"21775";"15820";"7110";"4535";"1465";"172830";"60235"
"H Vervoer en opslag";"46115";"30800";"6575";"2850";"2250";"1495";"1235";"435";"36235";"9885"
"I Horeca";"58810";"25130";"12860";"8095";"7525";"3485";"1285";"245";"48540";"10270"
"J Informatie en communicatie";"95475";"78325";"7900";"3110";"2540";"1670";"1185";"415";"71545";"23930"
"K Financiële dienstverlening";"95170";"84480";"6095";"1990";"1405";"620";"320";"100";"7110";"88055"
"L Verhuur en handel van onroerend goed";"27720";"19730";"4185";"2100";"925";"375";"230";"95";"12220";"15500"
"M-N Zakelijke dienstverlening";"433020";"365475";"32650";"12600";"10235";"5675";"3660";"1365";"335625";"97395"
"M Specialistische zakelijke diensten";"355775";"309075";"24285";"8730";"6990";"3670";"1965";"590";"275555";"80225"
"N Verhuur en overige zakelijke diensten";"77245";"56395";"8365";"3870";"3245";"2005";"1695";"775";"60075";"17170"
"O-Q Overheid en zorg";"254325";"214960";"15840";"8460";"7185";"3230";"1720";"765";"226835";"27490"
"O Openbaar bestuur en overheidsdiensten";"795";"190";"5";"10";"40";"30";"30";"75";"120";"675"
"P Onderwijs";"91400";"81590";"5720";"1325";"745";"560";"440";"255";"85080";"6320"
"Q Gezondheids- en welzijnszorg";"162130";"133180";"10115";"7125";"6405";"2645";"1255";"435";"141635";"20495"
"R-U Cultuur, recreatie, overige diensten";"217550";"189085";"14440";"6920";"4110";"1590";"915";"290";"185645";"31905"
"R Cultuur, sport en recreatie";"110465";"97970";"6780";"2590";"1615";"755";"505";"145";"94755";"15710"
"S Overige dienstverlening";"106940";"91075";"7645";"4300";"2460";"810";"400";"145";"90875";"16060"
"T Huishoudens";"20";"15";"0";"0";"0";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"125";"20";"15";"25";"30";"20";"10";"0";"0";"125"
"Bron: CBS"
