"Bedrijven; bedrijfstak"
"Perioden: 2013 2e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1373715";"986620";"172550";"88330";"63005";"30880";"18635";"6495";"1021560";"352155"
"Totaal (ex. financieel of nutsbedrijven)";"1292845";"917200";"166495";"86030";"61430";"30120";"18225";"6355";"1014550";"278295"
"A Landbouw, bosbouw en visserij";"68910";"32945";"21660";"9590";"3000";"1160";"445";"65";"63325";"5585"
"B-E Nijverheid (geen bouw) en energie";"58010";"32650";"6910";"4535";"4990";"3575";"2835";"1220";"37590";"20420"
"B Delfstoffenwinning";"355";"200";"35";"25";"25";"15";"20";"15";"135";"215"
"C Industrie";"55610";"31375";"6600";"4365";"4790";"3430";"2705";"1155";"36695";"18915"
"D Energievoorziening";"805";"495";"135";"65";"35";"15";"15";"5";"305";"500"
"E Waterbedrijven en afvalbeheer";"1240";"575";"145";"85";"140";"110";"90";"45";"455";"790"
"F Bouwnijverheid";"138700";"107505";"14195";"6400";"5035";"2960";"1765";"490";"118575";"20125"
"G-I Handel, vervoer en horeca";"291690";"152810";"57075";"34410";"26050";"11400";"6475";"1960";"220010";"71680"
"G Handel";"210955";"117145";"39075";"23375";"17160";"7425";"4475";"1295";"155495";"55460"
"H Vervoer en opslag";"33550";"18720";"5965";"2980";"2365";"1485";"1165";"480";"24865";"8690"
"I Horeca";"47185";"16945";"12035";"8055";"6520";"2490";"835";"185";"39650";"7535"
"J Informatie en communicatie";"70805";"56185";"7270";"2690";"2020";"1285";"840";"285";"53380";"17430"
"K Financiële dienstverlening";"78790";"68325";"5770";"2150";"1400";"630";"300";"85";"6225";"72565"
"L Verhuur en handel van onroerend goed";"24240";"16290";"4405";"1990";"815";"325";"220";"100";"11120";"13115"
"M-N Zakelijke dienstverlening";"321245";"258995";"29695";"12090";"9635";"5235";"3340";"1155";"237580";"83660"
"M Specialistische zakelijke diensten";"264465";"221120";"22390";"8400";"6565";"3335";"1765";"480";"194695";"69775"
"N Verhuur en overige zakelijke diensten";"56775";"37875";"7305";"3690";"3070";"1895";"1575";"675";"42890";"13890"
"O-Q Overheid en zorg";"157235";"122970";"12985";"7985";"5945";"2725";"1535";"845";"136840";"20395"
"O Openbaar bestuur en overheidsdiensten";"760";"110";"5";"5";"10";"25";"50";"120";"75";"690"
"P Onderwijs";"52505";"44500";"4120";"1085";"645";"590";"470";"290";"47185";"5320"
"Q Gezondheids- en welzijnszorg";"103965";"78360";"8855";"6895";"5290";"2115";"1010";"435";"89580";"14385"
"R-U Cultuur, recreatie, overige diensten";"164095";"137945";"12590";"6495";"4115";"1585";"885";"285";"136915";"27180"
"R Cultuur, sport en recreatie";"80850";"69610";"5890";"2335";"1535";"755";"485";"145";"66555";"14295"
"S Overige dienstverlening";"83210";"68310";"6695";"4155";"2575";"825";"400";"140";"70335";"12875"
"T Huishoudens";"30";"20";"5";"0";"0";"0";"0";"0";"25";"0"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
