"Bedrijven; bedrijfstak"
"Perioden: 2013 3e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1392480";"1007280";"172305";"88125";"62545";"30400";"18300";"6390";"1036010";"356475"
"Totaal (ex. financieel of nutsbedrijven)";"1310115";"936120";"166435";"85840";"61000";"29665";"17885";"6260";"1028980";"281135"
"A Landbouw, bosbouw en visserij";"69125";"33250";"21615";"9605";"2970";"1145";"430";"70";"63510";"5615"
"B-E Nijverheid (geen bouw) en energie";"58330";"33150";"6855";"4495";"5005";"3555";"2775";"1210";"37785";"20545"
"B Delfstoffenwinning";"375";"215";"35";"25";"25";"20";"20";"15";"140";"230"
"C Industrie";"55875";"31805";"6555";"4315";"4800";"3415";"2650";"1145";"36875";"19000"
"D Energievoorziening";"815";"510";"130";"65";"35";"15";"20";"5";"300";"515"
"E Waterbedrijven en afvalbeheer";"1265";"615";"130";"85";"145";"105";"85";"45";"465";"800"
"F Bouwnijverheid";"139140";"108620";"14100";"6290";"4860";"2815";"1650";"480";"118955";"20185"
"G-I Handel, vervoer en horeca";"293275";"154885";"57205";"34295";"25830";"11260";"6380";"1905";"221035";"72240"
"G Handel";"211815";"118445";"39215";"23230";"16965";"7260";"4445";"1255";"155955";"55860"
"H Vervoer en opslag";"33965";"19245";"5905";"2940";"2385";"1475";"1155";"470";"25225";"8740"
"I Horeca";"47495";"17195";"12085";"8125";"6485";"2520";"780";"180";"39855";"7640"
"J Informatie en communicatie";"72150";"57435";"7305";"2680";"2070";"1285";"855";"290";"54365";"17790"
"K Financiële dienstverlening";"80250";"70015";"5605";"2130";"1355";"615";"310";"85";"6235";"74015"
"L Verhuur en handel van onroerend goed";"23995";"16415";"4155";"1935";"785";"310";"205";"100";"10860";"13135"
"M-N Zakelijke dienstverlening";"328195";"266115";"29705";"12125";"9570";"5180";"3275";"1140";"243065";"85125"
"M Specialistische zakelijke diensten";"270525";"227210";"22355";"8465";"6585";"3285";"1730";"485";"199505";"71020"
"N Verhuur en overige zakelijke diensten";"57670";"38905";"7350";"3660";"2985";"1890";"1545";"655";"43565";"14105"
"O-Q Overheid en zorg";"161575";"127090";"13085";"8055";"6025";"2700";"1550";"830";"140950";"20625"
"O Openbaar bestuur en overheidsdiensten";"780";"115";"10";"5";"10";"25";"50";"120";"75";"705"
"P Onderwijs";"54175";"46090";"4180";"1095";"665";"580";"475";"295";"48805";"5370"
"Q Gezondheids- en welzijnszorg";"106620";"80885";"8890";"6955";"5350";"2100";"1025";"415";"92070";"14550"
"R-U Cultuur, recreatie, overige diensten";"166445";"140305";"12675";"6520";"4070";"1530";"870";"280";"139245";"27200"
"R Cultuur, sport en recreatie";"81965";"70725";"5925";"2370";"1520";"720";"480";"135";"67765";"14200"
"S Overige dienstverlening";"84445";"69560";"6745";"4150";"2550";"810";"385";"140";"71455";"12990"
"T Huishoudens";"25";"20";"5";"0";"0";"0";"0";"0";"25";"0"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
