"Bedrijven; bedrijfstak"
"Perioden: 2009 2e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1158835";"791475";"158830";"81305";"59255";"32590";"20450";"7090";"832030";"326805"
"Totaal (ex. financieel of nutsbedrijven)";"1086980";"731500";"153110";"78520";"57635";"31760";"19960";"6920";"824440";"262540"
"A Landbouw, bosbouw en visserij";"71500";"24230";"29580";"11225";"3900";"1720";"690";"105";"64325";"7175"
"B-E Nijverheid (geen bouw) en energie";"54410";"28865";"6420";"4425";"4970";"3860";"3085";"1350";"33890";"20520"
"B Delfstoffenwinning";"295";"140";"25";"20";"20";"25";"25";"10";"80";"215"
"C Industrie";"52300";"27790";"6190";"4255";"4815";"3715";"2935";"1290";"33180";"19120"
"D Energievoorziening";"655";"415";"110";"50";"15";"10";"15";"10";"295";"360"
"E Waterbedrijven en afvalbeheer";"1165";"520";"90";"100";"115";"110";"115";"40";"335";"825"
"F Bouwnijverheid";"132715";"101160";"12685";"6525";"5430";"3675";"2180";"620";"112150";"20565"
"G-I Handel, vervoer en horeca";"279855";"152380";"51530";"29935";"23690";"11800";"6960";"2060";"209655";"70200"
"G Handel";"204370";"117200";"35275";"20855";"16095";"7805";"4795";"1355";"149650";"54720"
"H Vervoer en opslag";"30880";"16935";"5460";"2520";"2270";"1590";"1205";"500";"22305";"8575"
"I Horeca";"44610";"18245";"10795";"6565";"5320";"2405";"960";"200";"37700";"6910"
"J Informatie en communicatie";"55625";"43875";"5280";"2215";"1720";"1215";"795";"265";"40540";"15085"
"K Financiële dienstverlening";"70010";"59030";"5510";"2635";"1485";"710";"360";"125";"6945";"63065"
"L Verhuur en handel van onroerend goed";"26135";"17315";"5260";"1865";"890";"355";"240";"115";"13645";"12485"
"M-N Zakelijke dienstverlening";"252920";"198495";"22960";"10960";"8885";"5460";"3700";"1275";"179555";"73370"
"M Specialistische zakelijke diensten";"206200";"168745";"17285";"7680";"5975";"3500";"1950";"580";"145440";"60760"
"N Verhuur en overige zakelijke diensten";"46720";"29750";"5675";"3280";"2910";"1965";"1750";"695";"34110";"12610"
"O-Q Overheid en zorg";"87855";"60620";"9470";"6270";"4535";"2110";"1490";"905";"69355";"18500"
"O Openbaar bestuur en overheidsdiensten";"755";"75";"10";"10";"10";"15";"45";"100";"45";"710"
"P Onderwijs";"32325";"26275";"2480";"740";"590";"500";"525";"320";"27440";"4885"
"Q Gezondheids- en welzijnszorg";"54775";"34265";"6980";"5520";"3935";"1600";"925";"485";"41870";"12905"
"R-U Cultuur, recreatie, overige diensten";"127810";"105505";"10135";"5255";"3750";"1685";"955";"275";"101970";"25835"
"R Cultuur, sport en recreatie";"57315";"47735";"4665";"1895";"1460";"800";"515";"145";"43900";"13420"
"S Overige dienstverlening";"70465";"57755";"5470";"3355";"2290";"880";"435";"130";"58060";"12405"
"T Huishoudens";"15";"10";"5";"0";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"15";"5";"0";"5";"5";"5";"0";"0";"0";"15"
"Bron: CBS"
