"Bedrijven; bedrijfstak"
"Perioden: 2012 2e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1347110";"957000";"171585";"88770";"64395";"31965";"19330";"6665";"1000655";"346455"
"Totaal (ex. financieel of nutsbedrijven)";"1267315";"889060";"165400";"86360";"62765";"31180";"18855";"6520";"993485";"273830"
"A Landbouw, bosbouw en visserij";"68225";"31835";"21560";"9555";"3130";"1435";"585";"90";"62800";"5425"
"B-E Nijverheid (geen bouw) en energie";"57045";"31315";"6900";"4625";"5080";"3670";"2895";"1250";"36715";"20330"
"B Delfstoffenwinning";"340";"195";"25";"30";"25";"15";"20";"15";"125";"215"
"C Industrie";"54695";"30085";"6615";"4450";"4905";"3530";"2735";"1180";"35865";"18830"
"D Energievoorziening";"750";"465";"130";"55";"35";"10";"15";"5";"295";"455"
"E Waterbedrijven en afvalbeheer";"1260";"570";"130";"95";"120";"115";"125";"45";"430";"825"
"F Bouwnijverheid";"139065";"106175";"14545";"6660";"5465";"3350";"1935";"545";"118720";"20345"
"G-I Handel, vervoer en horeca";"291830";"151635";"57250";"34535";"26490";"11765";"6650";"1970";"221115";"70715"
"G Handel";"212315";"117320";"39160";"23640";"17645";"7685";"4560";"1315";"157485";"54830"
"H Vervoer en opslag";"32785";"17810";"6070";"2895";"2435";"1490";"1195";"470";"24205";"8580"
"I Horeca";"46730";"16505";"12015";"8000";"6410";"2590";"895";"185";"39425";"7305"
"J Informatie en communicatie";"68425";"54415";"6855";"2615";"1960";"1275";"810";"265";"51560";"16860"
"K Financiële dienstverlening";"77760";"66885";"5920";"2260";"1475";"660";"330";"95";"6430";"71330"
"L Verhuur en handel van onroerend goed";"24565";"16080";"4730";"2120";"880";"335";"230";"100";"11460";"13100"
"M-N Zakelijke dienstverlening";"312365";"250285";"28995";"12060";"9860";"5365";"3435";"1215";"230625";"81740"
"M Specialistische zakelijke diensten";"257085";"213820";"21950";"8410";"6765";"3400";"1800";"500";"188775";"68310"
"N Verhuur en overige zakelijke diensten";"55280";"36465";"7040";"3645";"3095";"1965";"1635";"715";"41850";"13435"
"O-Q Overheid en zorg";"148195";"114805";"12475";"7885";"5820";"2520";"1535";"850";"128280";"19915"
"O Openbaar bestuur en overheidsdiensten";"780";"110";"10";"10";"10";"30";"45";"110";"70";"710"
"P Onderwijs";"48830";"41290";"3725";"1025";"650";"550";"460";"305";"43585";"5245"
"Q Gezondheids- en welzijnszorg";"98585";"73405";"8740";"6850";"5160";"1940";"1030";"440";"84620";"13960"
"R-U Cultuur, recreatie, overige diensten";"159635";"133560";"12360";"6455";"4240";"1595";"920";"285";"132950";"26680"
"R Cultuur, sport en recreatie";"78355";"67165";"5760";"2330";"1585";"775";"510";"145";"64280";"14075"
"S Overige dienstverlening";"81250";"66375";"6595";"4125";"2655";"815";"415";"140";"68655";"12595"
"T Huishoudens";"15";"10";"5";"0";"0";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"10";"5";"0";"0";"0";"0";"0";"0";"0";"10"
"Bron: CBS"
