"Bedrijven; bedrijfstak"
"Perioden: 2017 2e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1606645";"1213055";"176905";"89490";"62940";"31280";"18865";"6695";"1219080";"387560"
"Totaal (ex. financieel of nutsbedrijven)";"1514590";"1132925";"170390";"87210";"61355";"30550";"18445";"6555";"1211260";"303330"
"A Landbouw, bosbouw en visserij";"73400";"35835";"21950";"10700";"3200";"1105";"480";"85";"67450";"5950"
"B-E Nijverheid (geen bouw) en energie";"64500";"39465";"6980";"4455";"4860";"3440";"2745";"1230";"43180";"21320"
"B Delfstoffenwinning";"410";"270";"25";"25";"25";"20";"15";"15";"165";"245"
"C Industrie";"61390";"37530";"6670";"4250";"4645";"3300";"2610";"1170";"41930";"19460"
"D Energievoorziening";"1070";"730";"140";"70";"45";"20";"20";"5";"355";"715"
"E Waterbedrijven en afvalbeheer";"1630";"935";"145";"110";"145";"95";"95";"45";"725";"900"
"F Bouwnijverheid";"157925";"128740";"13775";"5940";"4555";"2635";"1485";"485";"137475";"20445"
"G-I Handel, vervoer en horeca";"318480";"179370";"57905";"33785";"25240";"11785";"6720";"2055";"241815";"76665"
"G Handel";"225145";"133350";"39235";"22610";"15895";"7200";"4450";"1360";"166985";"58160"
"H Vervoer en opslag";"39550";"24490";"5985";"3090";"2450";"1470";"1195";"460";"30290";"9255"
"I Horeca";"53785";"21530";"12680";"8085";"6900";"3120";"1070";"235";"44540";"9245"
"J Informatie en communicatie";"85395";"69310";"7550";"2895";"2410";"1525";"1075";"330";"64065";"21335"
"K Financiële dienstverlening";"89330";"78445";"6225";"2100";"1395";"615";"305";"95";"6725";"82605"
"L Verhuur en handel van onroerend goed";"25465";"17850";"3895";"2015";"940";"370";"225";"90";"11135";"14335"
"M-N Zakelijke dienstverlening";"382370";"318070";"30655";"12625";"9830";"5245";"3410";"1255";"292305";"90065"
"M Specialistische zakelijke diensten";"315930";"271120";"23095";"8850";"6745";"3370";"1810";"505";"241675";"74255"
"N Verhuur en overige zakelijke diensten";"66440";"46950";"7560";"3780";"3085";"1875";"1605";"750";"50630";"15805"
"O-Q Overheid en zorg";"214330";"177360";"14575";"8355";"6555";"3005";"1575";"795";"188555";"25770"
"O Openbaar bestuur en overheidsdiensten";"780";"160";"5";"5";"25";"35";"40";"95";"80";"695"
"P Onderwijs";"73765";"64855";"4935";"1215";"735";"550";"430";"285";"67875";"5890"
"Q Gezondheids- en welzijnszorg";"139780";"112345";"9630";"7135";"5790";"2425";"1100";"415";"120600";"19185"
"R-U Cultuur, recreatie, overige diensten";"195455";"168610";"13395";"6615";"3960";"1560";"850";"275";"166375";"29075"
"R Cultuur, sport en recreatie";"98125";"86235";"6365";"2585";"1500";"745";"465";"140";"83010";"15115"
"S Overige dienstverlening";"97300";"82355";"7025";"4035";"2455";"815";"390";"140";"83350";"13955"
"T Huishoudens";"20";"15";"0";"0";"5";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
