"Bedrijven; bedrijfstak"
"Perioden: 2018 3e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1703400";"1303660";"181130";"87640";"64475";"32215";"19570";"6940";"1300075";"403325"
"Totaal (ex. financieel of nutsbedrijven)";"1607220";"1219470";"174535";"85430";"62900";"31460";"19135";"6775";"1291930";"315285"
"A Landbouw, bosbouw en visserij";"73945";"36390";"21710";"10780";"3305";"1105";"505";"95";"67635";"6310"
"B-E Nijverheid (geen bouw) en energie";"67730";"42460";"7320";"4235";"4790";"3525";"2775";"1230";"45745";"21980"
"B Delfstoffenwinning";"455";"305";"30";"25";"20";"20";"15";"15";"190";"260"
"C Industrie";"64230";"40155";"7025";"4020";"4585";"3375";"2640";"1155";"44280";"19950"
"D Energievoorziening";"1215";"885";"135";"70";"45";"25";"20";"10";"395";"825"
"E Waterbedrijven en afvalbeheer";"1825";"1120";"130";"125";"135";"100";"100";"45";"880";"945"
"F Bouwnijverheid";"170525";"140490";"14395";"5775";"4705";"2730";"1570";"505";"149160";"21360"
"G-I Handel, vervoer en horeca";"327725";"188040";"58735";"32410";"25740";"12075";"6890";"2105";"249030";"78700"
"G Handel";"228685";"137095";"39630";"21705";"15970";"7260";"4505";"1420";"169480";"59205"
"H Vervoer en opslag";"42695";"27620";"6380";"2800";"2305";"1500";"1195";"435";"33095";"9600"
"I Horeca";"56350";"23325";"12730";"7905";"7465";"3315";"1185";"245";"46455";"9895"
"J Informatie en communicatie";"90740";"74105";"7800";"2940";"2450";"1565";"1185";"380";"68145";"22595"
"K Financiële dienstverlening";"93110";"82170";"6325";"2015";"1395";"625";"315";"105";"6850";"86260"
"L Verhuur en handel van onroerend goed";"26735";"18870";"4065";"2060";"975";"355";"235";"95";"11695";"15040"
"M-N Zakelijke dienstverlening";"409955";"343775";"31820";"12490";"10175";"5445";"3545";"1350";"315515";"94440"
"M Specialistische zakelijke diensten";"338145";"292165";"23855";"8705";"6975";"3525";"1885";"580";"260390";"77750"
"N Verhuur en overige zakelijke diensten";"71810";"51610";"7965";"3785";"3200";"1920";"1665";"770";"55125";"16690"
"O-Q Overheid en zorg";"235340";"197160";"15190";"8335";"6855";"3205";"1665";"780";"208565";"26780"
"O Openbaar bestuur en overheidsdiensten";"770";"150";"5";"10";"40";"25";"40";"85";"100";"670"
"P Onderwijs";"83320";"73890";"5375";"1270";"730";"565";"425";"280";"77175";"6145"
"Q Gezondheids- en welzijnszorg";"151250";"123120";"9810";"7055";"6080";"2610";"1200";"415";"131285";"19965"
"R-U Cultuur, recreatie, overige diensten";"207600";"180200";"13770";"6595";"4085";"1585";"885";"290";"177735";"29860"
"R Cultuur, sport en recreatie";"105195";"92985";"6585";"2580";"1565";"765";"480";"145";"89675";"15520"
"S Overige dienstverlening";"102375";"87195";"7185";"4015";"2520";"815";"400";"145";"88040";"14330"
"T Huishoudens";"25";"20";"0";"0";"0";"0";"0";"0";"20";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
