"Bedrijven; bedrijfstak"
"Perioden: 2014 1e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1401570";"1020020";"169850";"87535";"61925";"30545";"18195";"6380";"1049125";"352445"
"Totaal (ex. financieel of nutsbedrijven)";"1322005";"951215";"164180";"85375";"60445";"29830";"17795";"6255";"1042160";"279845"
"A Landbouw, bosbouw en visserij";"68710";"32835";"21205";"9505";"3175";"1375";"490";"75";"63200";"5510"
"B-E Nijverheid (geen bouw) en energie";"58815";"33855";"6835";"4460";"4935";"3485";"2765";"1185";"38380";"20435"
"B Delfstoffenwinning";"360";"210";"35";"20";"30";"15";"20";"15";"145";"215"
"C Industrie";"56340";"32490";"6530";"4290";"4735";"3340";"2635";"1125";"37430";"18910"
"D Energievoorziening";"830";"520";"135";"70";"35";"15";"20";"5";"315";"515"
"E Waterbedrijven en afvalbeheer";"1290";"640";"135";"80";"140";"110";"90";"45";"495";"795"
"F Bouwnijverheid";"140045";"110185";"13810";"6210";"4695";"2760";"1595";"470";"120060";"19985"
"G-I Handel, vervoer en horeca";"293180";"156110";"56195";"34170";"25480";"11425";"6360";"1930";"220960";"72220"
"G Handel";"211300";"119325";"38510";"23155";"16475";"7250";"4340";"1255";"155530";"55770"
"H Vervoer en opslag";"33980";"19355";"5850";"2965";"2330";"1485";"1125";"485";"25335";"8645"
"I Horeca";"47900";"17430";"11835";"8050";"6670";"2695";"895";"190";"40095";"7805"
"J Informatie en communicatie";"73175";"58395";"7270";"2750";"2065";"1285";"865";"310";"55125";"18055"
"K Financiële dienstverlening";"77425";"67630";"5395";"2010";"1305";"590";"290";"75";"6140";"71285"
"L Verhuur en handel van onroerend goed";"23475";"16405";"3870";"1750";"740";"325";"200";"100";"10475";"13000"
"M-N Zakelijke dienstverlening";"331125";"269515";"29460";"12045";"9495";"5080";"3280";"1145";"246790";"84335"
"M Specialistische zakelijke diensten";"273080";"230195";"22165";"8435";"6515";"3190";"1705";"470";"202830";"70250"
"N Verhuur en overige zakelijke diensten";"58045";"39320";"7290";"3610";"2985";"1890";"1575";"675";"43960";"14085"
"O-Q Overheid en zorg";"166525";"132125";"13130";"8015";"6065";"2685";"1480";"820";"145935";"20590"
"O Openbaar bestuur en overheidsdiensten";"785";"115";"5";"10";"10";"25";"55";"125";"75";"710"
"P Onderwijs";"55790";"47675";"4250";"1120";"650";"590";"430";"300";"50415";"5380"
"Q Gezondheids- en welzijnszorg";"109950";"84330";"8875";"6890";"5405";"2075";"995";"400";"95445";"14505"
"R-U Cultuur, recreatie, overige diensten";"169090";"142960";"12680";"6610";"3960";"1535";"875";"265";"142060";"27030"
"R Cultuur, sport en recreatie";"83285";"71970";"5845";"2490";"1525";"745";"490";"125";"69010";"14270"
"S Overige dienstverlening";"85780";"70975";"6830";"4120";"2440";"790";"385";"140";"73025";"12755"
"T Huishoudens";"25";"15";"5";"0";"0";"0";"0";"0";"25";"0"
"U Extraterritoriale organisaties";"5";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
