"Bedrijven; bedrijfstak"
"Perioden: 2010 3e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1250505";"882240";"168165";"80240";"57435";"29950";"18465";"6645";"914390";"336115"
"Totaal (ex. financieel of nutsbedrijven)";"1174840";"816860";"163030";"78100";"56005";"29185";"18035";"6490";"907310";"267530"
"A Landbouw, bosbouw en visserij";"73330";"34125";"25115";"9400";"2960";"1155";"455";"75";"67175";"6155"
"B-E Nijverheid (geen bouw) en energie";"54845";"29430";"6800";"4450";"4940";"3725";"2895";"1270";"34295";"20550"
"B Delfstoffenwinning";"320";"170";"30";"25";"25";"25";"20";"10";"105";"215"
"C Industrie";"52685";"28340";"6530";"4280";"4795";"3580";"2740";"1210";"33575";"19110"
"D Energievoorziening";"650";"390";"120";"55";"15";"15";"20";"5";"260";"390"
"E Waterbedrijven en afvalbeheer";"1190";"530";"120";"95";"105";"110";"115";"45";"350";"840"
"F Bouwnijverheid";"132970";"100745";"14315";"6370";"5265";"3330";"1975";"560";"112310";"20660"
"G-I Handel, vervoer en horeca";"282145";"150165";"57185";"31050";"23250";"10805";"6290";"1935";"211955";"70190"
"G Handel";"205940";"115905";"38830";"21500";"15750";"7230";"4475";"1285";"151385";"54555"
"H Vervoer en opslag";"31310";"16935";"5995";"2680";"2200";"1500";"1145";"485";"22660";"8650"
"I Horeca";"44900";"17325";"12365";"6875";"5305";"2070";"675";"165";"37910";"6985"
"J Informatie en communicatie";"60990";"48290";"6240";"2235";"1805";"1155";"740";"280";"45080";"15910"
"K Financiële dienstverlening";"73805";"64440";"4890";"1985";"1310";"635";"295";"105";"6455";"67345"
"L Verhuur en handel van onroerend goed";"24580";"15965";"4970";"2105";"750";"340";"240";"115";"11785";"12800"
"M-N Zakelijke dienstverlening";"280190";"224305";"25660";"10710";"8900";"5100";"3255";"1160";"202635";"77555"
"M Specialistische zakelijke diensten";"229720";"191020";"19255";"7475";"6000";"3270";"1745";"505";"165000";"64715"
"N Verhuur en overige zakelijke diensten";"50475";"33285";"6405";"3235";"2900";"1830";"1515";"655";"37630";"12840"
"O-Q Overheid en zorg";"122285";"92915";"11450";"6500";"4650";"2145";"1425";"885";"103215";"19075"
"O Openbaar bestuur en overheidsdiensten";"780";"95";"10";"10";"10";"25";"45";"125";"60";"720"
"P Onderwijs";"39530";"32840";"3155";"825";"580";"500";"470";"310";"34615";"4920"
"Q Gezondheids- en welzijnszorg";"81975";"59975";"8285";"5665";"4060";"1615";"910";"445";"68535";"13435"
"R-U Cultuur, recreatie, overige diensten";"145360";"121860";"11530";"5425";"3605";"1560";"890";"265";"119485";"25875"
"R Cultuur, sport en recreatie";"69955";"59765";"5420";"1970";"1360";"730";"485";"140";"56330";"13625"
"S Overige dienstverlening";"75385";"62080";"6105";"3450";"2240";"830";"405";"130";"63145";"12235"
"T Huishoudens";"15";"10";"5";"0";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"10";"5";"0";"5";"0";"0";"0";"0";"0";"10"
"Bron: CBS"
