"Bedrijven; bedrijfstak"
"Perioden: 2010 1e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1214570";"841865";"170690";"80840";"57875";"30175";"18910";"6750";"887070";"327505"
"Totaal (ex. financieel of nutsbedrijven)";"1142935";"780465";"165590";"78725";"56440";"29420";"18480";"6590";"879765";"263170"
"A Landbouw, bosbouw en visserij";"71110";"29860";"25935";"9835";"3275";"1460";"605";"90";"65075";"6035"
"B-E Nijverheid (geen bouw) en energie";"54855";"29070";"7050";"4585";"4930";"3655";"2890";"1305";"34325";"20530"
"B Delfstoffenwinning";"315";"165";"30";"25";"30";"20";"20";"10";"100";"215"
"C Industrie";"52670";"27945";"6795";"4405";"4780";"3515";"2735";"1245";"33585";"19090"
"D Energievoorziening";"665";"415";"110";"55";"15";"10";"20";"10";"275";"390"
"E Waterbedrijven en afvalbeheer";"1200";"545";"115";"100";"110";"110";"110";"40";"365";"835"
"F Bouwnijverheid";"133980";"100860";"14705";"6485";"5465";"3420";"2020";"590";"113400";"20580"
"G-I Handel, vervoer en horeca";"281940";"148405";"58090";"31270";"23390";"10935";"6455";"1930";"212030";"69910"
"G Handel";"205570";"114730";"39600";"21545";"15745";"7200";"4490";"1290";"151200";"54370"
"H Vervoer en opslag";"31265";"16720";"6105";"2770";"2250";"1455";"1140";"455";"22680";"8585"
"I Horeca";"45100";"16955";"12390";"6955";"5395";"2280";"825";"180";"38150";"6950"
"J Informatie en communicatie";"58965";"46380";"6280";"2195";"1735";"1140";"740";"250";"43410";"15555"
"K Financiële dienstverlening";"69750";"60430";"4870";"1955";"1310";"630";"295";"110";"6650";"63095"
"L Verhuur en handel van onroerend goed";"24345";"15595";"5120";"2055";"795";"345";"230";"115";"11840";"12505"
"M-N Zakelijke dienstverlening";"269835";"213625";"26010";"10635";"8805";"5050";"3370";"1205";"194905";"74930"
"M Specialistische zakelijke diensten";"220695";"182035";"19465";"7385";"5855";"3215";"1760";"520";"158525";"62170"
"N Verhuur en overige zakelijke diensten";"49140";"31585";"6545";"3250";"2950";"1835";"1610";"685";"36380";"12760"
"O-Q Overheid en zorg";"110260";"81765";"11150";"6305";"4435";"2005";"1405";"890";"91585";"18680"
"O Openbaar bestuur en overheidsdiensten";"765";"80";"5";"5";"15";"20";"50";"120";"50";"715"
"P Onderwijs";"36670";"30090";"3105";"795";"585";"480";"470";"320";"31805";"4865"
"Q Gezondheids- en welzijnszorg";"72825";"51595";"8040";"5500";"3835";"1505";"885";"445";"59730";"13095"
"R-U Cultuur, recreatie, overige diensten";"139535";"115875";"11475";"5520";"3735";"1535";"900";"265";"113845";"25690"
"R Cultuur, sport en recreatie";"65700";"55295";"5435";"2075";"1460";"715";"495";"135";"52120";"13580"
"S Overige dienstverlening";"73815";"60575";"6035";"3440";"2270";"815";"405";"135";"61720";"12095"
"T Huishoudens";"10";"5";"5";"0";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"10";"5";"0";"0";"0";"0";"0";"0";"0";"10"
"Bron: CBS"
