"Bedrijven; bedrijfstak"
"Perioden: 2019 4e kwartaal**"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1828160";"1417315";"186940";"89785";"65120";"33300";"20540";"7120";"1411285";"416875"
"Totaal (ex. financieel of nutsbedrijven)";"1730355";"1331400";"180495";"87585";"63505";"32540";"20095";"6945";"1402580";"327775"
"A Landbouw, bosbouw en visserij";"75095";"37355";"21285";"11075";"3435";"1175";"590";"125";"68395";"6700"
"B-E Nijverheid (geen bouw) en energie";"72705";"46935";"7565";"4505";"4725";"3520";"2780";"1265";"49190";"23520"
"B Delfstoffenwinning";"460";"325";"25";"25";"20";"15";"15";"15";"205";"260"
"C Industrie";"68885";"44280";"7260";"4305";"4530";"3380";"2655";"1185";"47490";"21395"
"D Energievoorziening";"1440";"1085";"150";"75";"45";"25";"20";"10";"485";"955"
"E Waterbedrijven en afvalbeheer";"1920";"1250";"135";"105";"130";"95";"95";"55";"1005";"915"
"F Bouwnijverheid";"190340";"158895";"15255";"6010";"4850";"2775";"1655";"520";"168085";"22255"
"G-I Handel, vervoer en horeca";"345455";"202775";"60375";"32865";"25635";"12510";"7295";"2180";"264795";"80660"
"G Handel";"237585";"144830";"40680";"21845";"15825";"7230";"4570";"1470";"177260";"60325"
"H Vervoer en opslag";"47275";"31755";"6685";"2860";"2310";"1510";"1240";"440";"37345";"9935"
"I Horeca";"60595";"26190";"13015";"8160";"7495";"3770";"1485";"270";"50190";"10405"
"J Informatie en communicatie";"97435";"80055";"8080";"3110";"2555";"1690";"1210";"410";"73380";"24055"
"K Financiële dienstverlening";"94295";"83540";"6140";"2000";"1410";"620";"320";"110";"7195";"87105"
"L Verhuur en handel van onroerend goed";"27930";"19830";"4285";"2090";"945";"365";"230";"100";"12475";"15455"
"M-N Zakelijke dienstverlening";"442325";"373840";"33190";"12715";"10305";"5730";"3745";"1365";"344715";"97605"
"M Specialistische zakelijke diensten";"362720";"315455";"24690";"8815";"6990";"3675";"2025";"590";"282410";"80315"
"N Verhuur en overige zakelijke diensten";"79600";"58385";"8505";"3900";"3320";"2055";"1715";"775";"62305";"17295"
"O-Q Overheid en zorg";"261560";"221780";"16185";"8445";"7150";"3285";"1790";"750";"233640";"27920"
"O Openbaar bestuur en overheidsdiensten";"800";"195";"5";"15";"25";"35";"30";"70";"130";"670"
"P Onderwijs";"94565";"84600";"5870";"1330";"735";"550";"450";"260";"88175";"6390"
"Q Gezondheids- en welzijnszorg";"166195";"136985";"10310";"7105";"6385";"2700";"1310";"420";"145335";"20860"
"R-U Cultuur, recreatie, overige diensten";"221020";"192295";"14570";"6970";"4110";"1635";"930";"300";"189415";"31605"
"R Cultuur, sport en recreatie";"112285";"99635";"6825";"2645";"1625";"790";"515";"150";"96845";"15440"
"S Overige dienstverlening";"108585";"92625";"7725";"4300";"2460";"820";"405";"150";"92550";"16035"
"T Huishoudens";"20";"20";"0";"0";"0";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"130";"20";"20";"25";"30";"20";"10";"0";"0";"130"
"Bron: CBS"
