"Bedrijven; bedrijfstak"
"Perioden: 2013 4e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1394290";"1009890";"171210";"87630";"62670";"30765";"18485";"6440";"1042320";"351970"
"Totaal (ex. financieel of nutsbedrijven)";"1314320";"940995";"165375";"85405";"61165";"30020";"18070";"6310";"1035335";"278985"
"A Landbouw, bosbouw en visserij";"68825";"32920";"21305";"9585";"3130";"1280";"480";"80";"63355";"5470"
"B-E Nijverheid (geen bouw) en energie";"58325";"33245";"6845";"4500";"4975";"3510";"2765";"1200";"37880";"20445"
"B Delfstoffenwinning";"375";"210";"40";"25";"30";"15";"20";"15";"145";"230"
"C Industrie";"55865";"31905";"6545";"4320";"4770";"3370";"2640";"1135";"36960";"18905"
"D Energievoorziening";"820";"510";"130";"70";"35";"15";"20";"5";"305";"515"
"E Waterbedrijven en afvalbeheer";"1265";"620";"125";"90";"140";"110";"90";"45";"470";"795"
"F Bouwnijverheid";"139550";"109165";"14025";"6275";"4840";"2805";"1635";"470";"119540";"20010"
"G-I Handel, vervoer en horeca";"293560";"155230";"56740";"34065";"25995";"11575";"6510";"1920";"221380";"72175"
"G Handel";"211990";"118960";"38985";"23200";"16860";"7290";"4455";"1240";"156175";"55815"
"H Vervoer en opslag";"33805";"19105";"5915";"2925";"2350";"1480";"1150";"480";"25170";"8630"
"I Horeca";"47765";"17165";"11840";"7940";"6780";"2805";"905";"205";"40035";"7730"
"J Informatie en communicatie";"72390";"57605";"7355";"2675";"2085";"1285";"850";"305";"54525";"17865"
"K Financiële dienstverlening";"77850";"67745";"5575";"2065";"1330";"615";"310";"80";"6185";"71665"
"L Verhuur en handel van onroerend goed";"23565";"16270";"4015";"1805";"765";"325";"200";"95";"10575";"12985"
"M-N Zakelijke dienstverlening";"328695";"266650";"29585";"12190";"9495";"5135";"3320";"1185";"244655";"84040"
"M Specialistische zakelijke diensten";"270795";"227625";"22275";"8495";"6530";"3230";"1730";"490";"200845";"69945"
"N Verhuur en overige zakelijke diensten";"57905";"39020";"7310";"3700";"2965";"1905";"1590";"695";"43810";"14095"
"O-Q Overheid en zorg";"164025";"129630";"13145";"7960";"6005";"2690";"1525";"835";"143510";"20510"
"O Openbaar bestuur en overheidsdiensten";"780";"115";"10";"5";"10";"25";"55";"125";"75";"705"
"P Onderwijs";"54885";"46765";"4215";"1125";"655";"570";"460";"300";"49535";"5355"
"Q Gezondheids- en welzijnszorg";"108355";"82750";"8925";"6830";"5340";"2095";"1015";"415";"93905";"14450"
"R-U Cultuur, recreatie, overige diensten";"167510";"141425";"12620";"6510";"4055";"1540";"895";"270";"140710";"26800"
"R Cultuur, sport en recreatie";"82450";"71195";"5870";"2405";"1520";"740";"505";"130";"68380";"14070"
"S Overige dienstverlening";"85030";"70210";"6745";"4105";"2535";"800";"390";"140";"72305";"12725"
"T Huishoudens";"25";"20";"5";"0";"0";"0";"0";"0";"25";"0"
"U Extraterritoriale organisaties";"5";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
