"Bedrijven; bedrijfstak"
"Perioden: 2009 3e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1189525";"820110";"166525";"84530";"56225";"29890";"18490";"6425";"859565";"329955"
"Totaal (ex. financieel of nutsbedrijven)";"1116710";"762305";"158230";"81090";"54660";"29075";"18025";"6260";"852030";"264680"
"A Landbouw, bosbouw en visserij";"73195";"26430";"29700";"11510";"3605";"1340";"490";"70";"65985";"7210"
"B-E Nijverheid (geen bouw) en energie";"54655";"29445";"6550";"4625";"4955";"3615";"2870";"1215";"34180";"20470"
"B Delfstoffenwinning";"300";"150";"25";"25";"25";"20";"20";"10";"80";"215"
"C Industrie";"52510";"28335";"6305";"4460";"4805";"3470";"2720";"1155";"33455";"19055"
"D Energievoorziening";"655";"420";"110";"50";"15";"10";"15";"10";"295";"365"
"E Waterbedrijven en afvalbeheer";"1185";"545";"105";"90";"110";"110";"110";"35";"350";"835"
"F Bouwnijverheid";"134535";"103405";"12845";"6585";"5315";"3435";"1995";"545";"113855";"20675"
"G-I Handel, vervoer en horeca";"281560";"155565";"53425";"30665";"21965";"10645";"6150";"1760";"211170";"70385"
"G Handel";"205480";"119405";"36405";"21120";"14840";"7255";"4330";"1190";"150645";"54840"
"H Vervoer en opslag";"31160";"17285";"5605";"2590";"2245";"1515";"1130";"445";"22570";"8590"
"I Horeca";"44915";"18875";"11415";"6955";"4885";"1880";"690";"125";"37955";"6960"
"J Informatie en communicatie";"57325";"45405";"5550";"2230";"1665";"1190";"755";"275";"42000";"15325"
"K Financiële dienstverlening";"70940";"56835";"8075";"3300";"1435";"685";"340";"120";"6880";"64060"
"L Verhuur en handel van onroerend goed";"26450";"17425";"5405";"2065";"795";"335";"230";"105";"13860";"12585"
"M-N Zakelijke dienstverlening";"263140";"207115";"24930";"11765";"8625";"5075";"3395";"1175";"188680";"74460"
"M Specialistische zakelijke diensten";"215270";"175940";"19085";"8385";"5760";"3255";"1805";"560";"153545";"61725"
"N Verhuur en overige zakelijke diensten";"47870";"31170";"5850";"3375";"2865";"1820";"1590";"615";"35135";"12735"
"O-Q Overheid en zorg";"95180";"67820";"9675";"6485";"4485";"2090";"1405";"915";"76495";"18685"
"O Openbaar bestuur en overheidsdiensten";"770";"90";"10";"10";"10";"20";"50";"115";"55";"715"
"P Onderwijs";"34470";"28405";"2560";"765";"580";"540";"475";"325";"29545";"4930"
"Q Gezondheids- en welzijnszorg";"59935";"39325";"7105";"5710";"3890";"1535";"880";"470";"46895";"13040"
"R-U Cultuur, recreatie, overige diensten";"132550";"110670";"10370";"5305";"3385";"1480";"865";"245";"106455";"26095"
"R Cultuur, sport en recreatie";"60030";"50630";"4695";"1950";"1375";"710";"460";"125";"46595";"13435"
"S Overige dienstverlening";"72490";"60030";"5675";"3355";"2005";"765";"405";"120";"59845";"12645"
"T Huishoudens";"15";"10";"5";"0";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"15";"5";"0";"0";"5";"5";"0";"0";"0";"15"
"Bron: CBS"
