"Bedrijven; bedrijfstak"
"Perioden: 2015 2e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1480090";"1094155";"172140";"88455";"62500";"30595";"18405";"6590";"1114645";"365445"
"Totaal (ex. financieel of nutsbedrijven)";"1394300";"1019605";"166290";"86150";"60940";"29850";"17995";"6455";"1107430";"286870"
"A Landbouw, bosbouw en visserij";"70285";"34020";"21450";"9945";"3115";"1160";"475";"80";"64555";"5730"
"B-E Nijverheid (geen bouw) en energie";"60890";"35965";"6875";"4445";"4795";"3515";"2745";"1225";"40180";"20710"
"B Delfstoffenwinning";"415";"260";"35";"20";"30";"15";"20";"15";"165";"250"
"C Industrie";"58100";"34315";"6555";"4265";"4600";"3370";"2615";"1160";"39075";"19025"
"D Energievoorziening";"955";"605";"145";"70";"50";"25";"20";"10";"360";"600"
"E Waterbedrijven en afvalbeheer";"1420";"780";"140";"90";"115";"105";"90";"40";"585";"835"
"F Bouwnijverheid";"145260";"116265";"13650";"5965";"4535";"2615";"1455";"455";"125420";"19840"
"G-I Handel, vervoer en horeca";"304675";"166360";"57005";"34140";"25570";"11465";"6560";"2005";"230595";"74080"
"G Handel";"219410";"126670";"39150";"23030";"16555";"7200";"4460";"1330";"162435";"56975"
"H Vervoer en opslag";"35365";"20690";"5815";"2980";"2385";"1450";"1165";"475";"26525";"8840"
"I Horeca";"49900";"19000";"12040";"8130";"6630";"2815";"940";"200";"41635";"8265"
"J Informatie en communicatie";"78340";"62945";"7435";"2830";"2190";"1410";"945";"330";"59080";"19260"
"K Financiële dienstverlening";"83390";"73150";"5565";"2145";"1395";"615";"295";"90";"6260";"77130"
"L Verhuur en handel van onroerend goed";"24065";"16870";"3795";"1800";"860";"340";"215";"100";"10630";"13435"
"M-N Zakelijke dienstverlening";"352240";"289560";"29950";"12240";"9640";"5105";"3330";"1235";"266070";"86170"
"M Specialistische zakelijke diensten";"291155";"247085";"22765";"8595";"6680";"3345";"1765";"505";"219750";"71405"
"N Verhuur en overige zakelijke diensten";"61090";"42475";"7180";"3645";"2960";"1760";"1565";"730";"46325";"14765"
"O-Q Overheid en zorg";"182065";"146650";"13435";"8265";"6425";"2815";"1530";"790";"160975";"21090"
"O Openbaar bestuur en overheidsdiensten";"750";"125";"5";"10";"15";"15";"50";"105";"90";"660"
"P Onderwijs";"62420";"54005";"4500";"1140";"700";"555";"450";"285";"56765";"5650"
"Q Gezondheids- en welzijnszorg";"118900";"92520";"8930";"7115";"5710";"2245";"1030";"400";"104120";"14780"
"R-U Cultuur, recreatie, overige diensten";"178875";"152375";"12975";"6685";"3970";"1555";"845";"285";"150875";"28000"
"R Cultuur, sport en recreatie";"89235";"77650";"6090";"2505";"1555";"725";"485";"140";"74465";"14770"
"S Overige dienstverlening";"89620";"74710";"6885";"4180";"2415";"830";"360";"145";"76400";"13220"
"T Huishoudens";"15";"10";"0";"0";"0";"0";"0";"0";"10";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
