"Bedrijven; bedrijfstak"
"Perioden: 2013 1e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1365650";"975775";"173145";"88510";"63705";"31525";"19095";"6565";"1017880";"347770"
"Totaal (ex. financieel of nutsbedrijven)";"1286665";"908190";"167175";"86180";"62145";"30775";"18665";"6425";"1010785";"275880"
"A Landbouw, bosbouw en visserij";"68945";"32585";"21570";"9520";"3245";"1380";"520";"85";"63460";"5485"
"B-E Nijverheid (geen bouw) en energie";"58040";"32450";"6945";"4585";"5000";"3630";"2870";"1245";"37690";"20350"
"B Delfstoffenwinning";"345";"190";"35";"25";"20";"20";"20";"15";"135";"210"
"C Industrie";"55670";"31220";"6645";"4400";"4810";"3485";"2735";"1180";"36795";"18875"
"D Energievoorziening";"785";"485";"125";"65";"35";"15";"20";"5";"310";"475"
"E Waterbedrijven en afvalbeheer";"1235";"555";"140";"100";"130";"110";"100";"45";"450";"790"
"F Bouwnijverheid";"139040";"107350";"14175";"6550";"5190";"3080";"1815";"520";"118860";"20185"
"G-I Handel, vervoer en horeca";"292410";"152350";"57595";"34350";"26255";"11665";"6690";"1950";"221105";"71310"
"G Handel";"212010";"117340";"39650";"23420";"17260";"7450";"4580";"1290";"156770";"55240"
"H Vervoer en opslag";"33305";"18400";"5990";"2910";"2390";"1550";"1175";"475";"24710";"8595"
"I Horeca";"47095";"16610";"11955";"8015";"6600";"2665";"935";"185";"39625";"7470"
"J Informatie en communicatie";"70210";"55565";"7325";"2680";"1995";"1290";"835";"280";"52995";"17215"
"K Financiële dienstverlening";"76930";"66525";"5695";"2165";"1385";"625";"310";"90";"6315";"70615"
"L Verhuur en handel van onroerend goed";"24200";"16150";"4515";"1980";"810";"330";"220";"100";"11175";"13025"
"M-N Zakelijke dienstverlening";"318000";"255555";"29615";"12185";"9680";"5260";"3390";"1190";"235600";"82405"
"M Specialistische zakelijke diensten";"261505";"218115";"22360";"8490";"6580";"3300";"1770";"480";"192835";"68665"
"N Verhuur en overige zakelijke diensten";"56500";"37440";"7255";"3695";"3100";"1960";"1620";"710";"42760";"13735"
"O-Q Overheid en zorg";"154855";"120535";"13090";"7955";"5940";"2695";"1530";"830";"134520";"20335"
"O Openbaar bestuur en overheidsdiensten";"785";"115";"10";"10";"15";"25";"55";"115";"75";"710"
"P Onderwijs";"51530";"43590";"4105";"1025";"650";"585";"465";"295";"46225";"5310"
"Q Gezondheids- en welzijnszorg";"102540";"76830";"8975";"6920";"5275";"2090";"1010";"420";"88225";"14315"
"R-U Cultuur, recreatie, overige diensten";"163020";"136705";"12625";"6540";"4195";"1570";"910";"270";"136165";"26850"
"R Cultuur, sport en recreatie";"80160";"68760";"5880";"2445";"1590";"755";"510";"140";"65970";"14190"
"S Overige dienstverlening";"82825";"67925";"6740";"4095";"2605";"815";"405";"135";"70175";"12655"
"T Huishoudens";"25";"15";"5";"0";"0";"0";"0";"0";"25";"0"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
