"Bedrijven; bedrijfstak"
"Perioden: 2014 2e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1420010";"1037755";"170555";"88005";"62020";"30040";"18155";"6355";"1059045";"360965"
"Totaal (ex. financieel of nutsbedrijven)";"1335250";"964275";"164635";"85650";"60505";"29300";"17745";"6225";"1051990";"283255"
"A Landbouw, bosbouw en visserij";"68265";"32630";"21205";"9645";"3065";"1155";"460";"65";"62640";"5630"
"B-E Nijverheid (geen bouw) en energie";"59275";"34225";"6900";"4495";"4930";"3495";"2755";"1195";"38640";"20635"
"B Delfstoffenwinning";"370";"215";"35";"25";"25";"20";"20";"15";"150";"220"
"C Industrie";"56695";"32780";"6585";"4315";"4740";"3340";"2620";"1135";"37645";"19050"
"D Energievoorziening";"900";"570";"150";"75";"30";"25";"20";"5";"330";"565"
"E Waterbedrijven en afvalbeheer";"1310";"660";"135";"80";"130";"110";"95";"40";"510";"800"
"F Bouwnijverheid";"140845";"111110";"13855";"6170";"4675";"2720";"1530";"460";"120760";"20090"
"G-I Handel, vervoer en horeca";"295630";"158635";"56390";"34185";"25500";"11115";"6370";"1910";"222735";"72895"
"G Handel";"213035";"121025";"38595";"23150";"16555";"7075";"4385";"1260";"156775";"56260"
"H Vervoer en opslag";"34355";"19730";"5825";"2960";"2380";"1475";"1120";"465";"25600";"8755"
"I Horeca";"48235";"17880";"11970";"8075";"6570";"2565";"860";"185";"40360";"7880"
"J Informatie en communicatie";"74370";"59445";"7325";"2775";"2090";"1305";"885";"310";"55790";"18580"
"K Financiële dienstverlening";"82535";"72235";"5630";"2195";"1350";"605";"295";"85";"6195";"76340"
"L Verhuur en handel van onroerend goed";"23545";"16515";"3780";"1750";"775";"325";"210";"95";"10270";"13270"
"M-N Zakelijke dienstverlening";"335145";"273190";"29670";"12195";"9425";"5130";"3270";"1145";"250185";"84960"
"M Specialistische zakelijke diensten";"276290";"233060";"22305";"8545";"6500";"3270";"1720";"480";"205735";"70555"
"N Verhuur en overige zakelijke diensten";"58855";"40130";"7365";"3650";"2925";"1865";"1545";"665";"44450";"14405"
"O-Q Overheid en zorg";"169340";"134775";"13200";"8035";"6140";"2665";"1525";"820";"148555";"20785"
"O Openbaar bestuur en overheidsdiensten";"790";"120";"10";"10";"10";"25";"55";"125";"80";"710"
"P Onderwijs";"57265";"49050";"4340";"1110";"675";"575";"440";"295";"51785";"5480"
"Q Gezondheids- en welzijnszorg";"111280";"85600";"8850";"6920";"5455";"2065";"1030";"395";"96690";"14595"
"R-U Cultuur, recreatie, overige diensten";"171055";"144995";"12595";"6550";"4070";"1525";"865";"270";"143280";"27780"
"R Cultuur, sport en recreatie";"84695";"73340";"5910";"2460";"1550";"740";"485";"125";"70055";"14640"
"S Overige dienstverlening";"86345";"71645";"6685";"4090";"2515";"785";"380";"145";"73215";"13130"
"T Huishoudens";"15";"10";"0";"0";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"5";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
