"Bedrijven; bedrijfstak"
"Perioden: 2008 4e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1127895";"758055";"160300";"83020";"59230";"32805";"19975";"6865";"815390";"312505"
"Totaal (ex. financieel of nutsbedrijven)";"1060110";"703840";"153440";"79850";"57515";"31895";"19490";"6685";"807390";"252720"
"A Landbouw, bosbouw en visserij";"71925";"23515";"30170";"11400";"4145";"1825";"705";"120";"64775";"7150"
"B-E Nijverheid (geen bouw) en energie";"53970";"28435";"6370";"4465";"4995";"3915";"3060";"1285";"33700";"20270"
"B Delfstoffenwinning";"295";"140";"25";"20";"25";"30";"20";"10";"85";"210"
"C Industrie";"51870";"27385";"6140";"4300";"4825";"3755";"2915";"1225";"32985";"18885"
"D Energievoorziening";"650";"405";"115";"45";"20";"10";"10";"10";"290";"360"
"E Waterbedrijven en afvalbeheer";"1160";"505";"90";"100";"125";"120";"110";"40";"335";"820"
"F Bouwnijverheid";"128940";"97630";"12415";"6560";"5530";"3650";"2130";"595";"108935";"20005"
"G-I Handel, vervoer en horeca";"279470";"151315";"51895";"30730";"23550";"11845";"6705";"1940";"210815";"68655"
"G Handel";"204290";"116870";"35755";"21300";"15750";"7760";"4585";"1285";"150775";"53520"
"H Vervoer en opslag";"30495";"16550";"5420";"2555";"2290";"1600";"1215";"475";"22075";"8420"
"I Horeca";"44685";"17900";"10720";"6875";"5510";"2480";"905";"180";"37965";"6720"
"J Informatie en communicatie";"53585";"41855";"5370";"2195";"1675";"1170";"805";"260";"39280";"14305"
"K Financiële dienstverlening";"65935";"53290";"6650";"3025";"1550";"775";"365";"125";"7365";"58575"
"L Verhuur en handel van onroerend goed";"25115";"16840";"4775";"1785";"885";"390";"230";"115";"13095";"12015"
"M-N Zakelijke dienstverlening";"243555";"188820";"23360";"11260";"8645";"5530";"3575";"1245";"174175";"69380"
"M Specialistische zakelijke diensten";"197960";"160025";"17780";"8010";"5765";"3485";"1880";"545";"140620";"57340"
"N Verhuur en overige zakelijke diensten";"45600";"28795";"5580";"3245";"2880";"2045";"1695";"700";"33555";"12040"
"O-Q Overheid en zorg";"82100";"55275";"9140";"6265";"4545";"2115";"1465";"905";"64155";"17950"
"O Openbaar bestuur en overheidsdiensten";"750";"65";"10";"5";"15";"15";"50";"120";"35";"715"
"P Onderwijs";"30840";"24885";"2400";"765";"580";"510";"540";"315";"26100";"4740"
"Q Gezondheids- en welzijnszorg";"50510";"30320";"6735";"5495";"3950";"1590";"875";"470";"38015";"12495"
"R-U Cultuur, recreatie, overige diensten";"123295";"101085";"10150";"5345";"3700";"1595";"940";"270";"99100";"24195"
"R Cultuur, sport en recreatie";"53865";"44495";"4490";"1945";"1440";"765";"505";"140";"41495";"12365"
"S Overige dienstverlening";"69395";"56575";"5660";"3400";"2245";"825";"435";"130";"57595";"11800"
"T Huishoudens";"10";"5";"0";"0";"0";"0";"0";"0";"5";"0"
"U Extraterritoriale organisaties";"30";"10";"0";"5";"10";"5";"0";"0";"0";"30"
"Bron: CBS"
