"Bedrijven; bedrijfstak"
"Perioden: 2016 3e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1575635";"1184635";"176915";"89390";"62295";"30335";"18365";"6500";"1193050";"382585"
"Totaal (ex. financieel of nutsbedrijven)";"1485135";"1105965";"170495";"87040";"60725";"29610";"17965";"6360";"1185455";"299680"
"A Landbouw, bosbouw en visserij";"73725";"36415";"22110";"10255";"3195";"1125";"495";"85";"67740";"5980"
"B-E Nijverheid (geen bouw) en energie";"63600";"38675";"6995";"4465";"4825";"3390";"2720";"1220";"42425";"21170"
"B Delfstoffenwinning";"415";"260";"35";"25";"25";"20";"20";"10";"165";"250"
"C Industrie";"60570";"36790";"6700";"4265";"4625";"3250";"2590";"1160";"41205";"19365"
"D Energievoorziening";"1020";"690";"125";"75";"45";"25";"20";"5";"345";"675"
"E Waterbedrijven en afvalbeheer";"1595";"935";"135";"100";"135";"100";"90";"45";"715";"880"
"F Bouwnijverheid";"154660";"125745";"13650";"6005";"4530";"2590";"1390";"440";"134555";"20105"
"G-I Handel, vervoer en horeca";"316045";"177055";"58075";"34060";"25360";"11440";"6485";"1985";"240080";"75960"
"G Handel";"225060";"132890";"39685";"22715";"16095";"6985";"4360";"1315";"167155";"57900"
"H Vervoer en opslag";"38230";"23310";"5895";"3090";"2430";"1470";"1165";"460";"29100";"9130"
"I Horeca";"52755";"20855";"12500";"8255";"6835";"2985";"960";"210";"43825";"8930"
"J Informatie en communicatie";"84150";"68195";"7670";"2960";"2300";"1445";"980";"330";"63410";"20735"
"K Financiële dienstverlening";"87860";"77030";"6160";"2175";"1395";"600";"285";"90";"6525";"81335"
"L Verhuur en handel van onroerend goed";"25125";"17710";"3895";"1900";"865";"355";"220";"95";"11080";"14045"
"M-N Zakelijke dienstverlening";"375400";"311820";"30570";"12605";"9580";"5030";"3395";"1200";"286135";"89265"
"M Specialistische zakelijke diensten";"310815";"266230";"23165";"8820";"6625";"3290";"1780";"495";"236890";"73925"
"N Verhuur en overige zakelijke diensten";"64590";"45590";"7405";"3785";"2955";"1740";"1615";"705";"49245";"15340"
"O-Q Overheid en zorg";"204580";"168210";"14515";"8300";"6280";"2845";"1530";"800";"179165";"25415"
"O Openbaar bestuur en overheidsdiensten";"740";"120";"5";"10";"20";"20";"45";"110";"70";"665"
"P Onderwijs";"69780";"61040";"4830";"1200";"695";"545";"430";"285";"64020";"5765"
"Q Gezondheids- en welzijnszorg";"134060";"107055";"9680";"7090";"5565";"2280";"1055";"410";"115075";"18985"
"R-U Cultuur, recreatie, overige diensten";"190490";"163775";"13275";"6660";"3965";"1515";"855";"265";"161920";"28570"
"R Cultuur, sport en recreatie";"95250";"83440";"6335";"2535";"1540";"710";"465";"130";"80470";"14780"
"S Overige dienstverlening";"95220";"80320";"6935";"4125";"2425";"800";"390";"135";"81440";"13775"
"T Huishoudens";"15";"10";"0";"0";"0";"0";"0";"0";"10";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
