"Bedrijven; bedrijfstak"
"Perioden: 2011 3e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1307195";"920050";"169440";"88820";"64185";"31455";"19245";"6645";"966875";"340315"
"Totaal (ex. financieel of nutsbedrijven)";"1229975";"854665";"163295";"86410";"62535";"30670";"18795";"6485";"959725";"270250"
"A Landbouw, bosbouw en visserij";"69635";"32300";"22765";"9795";"3030";"1185";"450";"80";"64055";"5580"
"B-E Nijverheid (geen bouw) en energie";"55945";"30135";"6805";"4575";"5130";"3780";"2930";"1285";"35560";"20385"
"B Delfstoffenwinning";"320";"170";"30";"25";"25";"20";"20";"15";"120";"195"
"C Industrie";"53675";"28970";"6520";"4410";"4950";"3630";"2790";"1215";"34750";"18925"
"D Energievoorziening";"725";"445";"125";"55";"30";"15";"20";"5";"290";"430"
"E Waterbedrijven en afvalbeheer";"1225";"545";"130";"85";"130";"115";"105";"50";"400";"830"
"F Bouwnijverheid";"135895";"103205";"14280";"6605";"5570";"3355";"1930";"555";"115365";"20530"
"G-I Handel, vervoer en horeca";"288295";"149400";"56265";"34690";"26395";"11540";"6595";"1920";"217665";"70625"
"G Handel";"210315";"115665";"38475";"23785";"17780";"7725";"4630";"1285";"155510";"54810"
"H Vervoer en opslag";"32270";"17450";"5955";"2900";"2380";"1500";"1205";"480";"23580";"8690"
"I Horeca";"45705";"16285";"11835";"8005";"6235";"2310";"760";"155";"38575";"7130"
"J Informatie en communicatie";"65530";"51920";"6570";"2545";"1935";"1235";"805";"275";"49145";"16385"
"K Financiële dienstverlening";"75245";"64375";"5885";"2275";"1490";"655";"330";"105";"6450";"68795"
"L Verhuur en handel van onroerend goed";"24440";"15735";"4840";"2215";"880";"330";"230";"110";"11570";"12870"
"M-N Zakelijke dienstverlening";"299235";"238490";"27835";"11925";"9855";"5355";"3480";"1180";"219570";"79670"
"M Specialistische zakelijke diensten";"245815";"203455";"21075";"8290";"6770";"3420";"1840";"510";"179325";"66490"
"N Verhuur en overige zakelijke diensten";"53425";"35035";"6755";"3635";"3085";"1935";"1640";"670";"40245";"13175"
"O-Q Overheid en zorg";"138775";"106030";"12055";"7860";"5665";"2425";"1565";"855";"119235";"19540"
"O Openbaar bestuur en overheidsdiensten";"790";"105";"10";"10";"10";"25";"50";"115";"70";"720"
"P Onderwijs";"45175";"37915";"3465";"980";"660";"530";"480";"305";"40105";"5070"
"Q Gezondheids- en welzijnszorg";"92810";"68010";"8575";"6875";"4990";"1875";"1035";"435";"79060";"13750"
"R-U Cultuur, recreatie, overige diensten";"154200";"128460";"12140";"6340";"4240";"1590";"930";"275";"128265";"25935"
"R Cultuur, sport en recreatie";"75115";"64255";"5600";"2215";"1560";"745";"510";"140";"61460";"13650"
"S Overige dienstverlening";"79060";"64190";"6535";"4125";"2680";"845";"420";"135";"66785";"12270"
"T Huishoudens";"15";"10";"5";"0";"0";"0";"0";"0";"15";"0"
"U Extraterritoriale organisaties";"10";"5";"0";"0";"0";"0";"0";"0";"0";"10"
"Bron: CBS"
