"Bedrijven; bedrijfstak"
"Perioden: 2018 4e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1726190";"1323000";"182555";"87985";"64575";"33020";"20085";"7095";"1324705";"401485"
"Totaal (ex. financieel of nutsbedrijven)";"1630905";"1239775";"175950";"85745";"62990";"32250";"19655";"6935";"1316310";"314595"
"A Landbouw, bosbouw en visserij";"74190";"36385";"21520";"10920";"3400";"1235";"560";"110";"67860";"6330"
"B-E Nijverheid (geen bouw) en energie";"68510";"43160";"7370";"4215";"4800";"3515";"2815";"1240";"46530";"21975"
"B Delfstoffenwinning";"460";"310";"30";"25";"20";"20";"20";"15";"200";"260"
"C Industrie";"64970";"40810";"7085";"4000";"4585";"3365";"2675";"1170";"45020";"19950"
"D Energievoorziening";"1220";"880";"135";"70";"45";"25";"20";"10";"395";"825"
"E Waterbedrijven en afvalbeheer";"1860";"1155";"120";"120";"145";"110";"100";"45";"915";"940"
"F Bouwnijverheid";"174630";"144170";"14565";"5885";"4795";"2755";"1595";"520";"153285";"21345"
"G-I Handel, vervoer en horeca";"330745";"189880";"59190";"32440";"25600";"12535";"7150";"2185";"252075";"78670"
"G Handel";"229985";"138010";"39920";"21655";"15930";"7360";"4550";"1455";"170925";"59060"
"H Vervoer en opslag";"43620";"28315";"6525";"2850";"2265";"1530";"1215";"450";"34020";"9595"
"I Horeca";"57140";"23555";"12745";"7930";"7405";"3645";"1385";"280";"47130";"10010"
"J Informatie en communicatie";"91970";"75180";"7855";"2975";"2490";"1600";"1175";"380";"69350";"22620"
"K Financiële dienstverlening";"92180";"81170";"6350";"2050";"1395";"640";"310";"105";"7070";"85110"
"L Verhuur en handel van onroerend goed";"26900";"18980";"4140";"2040";"960";"380";"225";"95";"11885";"15020"
"M-N Zakelijke dienstverlening";"415880";"349000";"32195";"12570";"10155";"5565";"3615";"1380";"322110";"93770"
"M Specialistische zakelijke diensten";"342565";"296190";"24155";"8720";"6960";"3570";"1910";"595";"265475";"77090"
"N Verhuur en overige zakelijke diensten";"73315";"52810";"8040";"3845";"3195";"2000";"1700";"785";"56635";"16680"
"O-Q Overheid en zorg";"240660";"202240";"15410";"8290";"6860";"3205";"1715";"780";"213920";"26740"
"O Openbaar bestuur en overheidsdiensten";"815";"195";"5";"10";"35";"25";"40";"85";"105";"710"
"P Onderwijs";"85700";"76130";"5480";"1305";"725";"575";"435";"275";"79540";"6160"
"Q Gezondheids- en welzijnszorg";"154145";"125915";"9925";"6975";"6100";"2600";"1240";"415";"134270";"19870"
"R-U Cultuur, recreatie, overige diensten";"210530";"182845";"13960";"6605";"4115";"1585";"925";"300";"180625";"29905"
"R Cultuur, sport en recreatie";"106870";"94515";"6640";"2570";"1620";"760";"525";"145";"91395";"15480"
"S Overige dienstverlening";"103630";"88310";"7320";"4030";"2495";"825";"405";"155";"89215";"14415"
"T Huishoudens";"20";"15";"0";"0";"0";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
