"Bedrijven; bedrijfstak"
"Perioden: 2012 4e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1362175";"973160";"171040";"88675";"64225";"31720";"19315";"6680";"1015775";"346400"
"Totaal (ex. financieel of nutsbedrijven)";"1283465";"905985";"165055";"86300";"62655";"30940";"18870";"6540";"1008725";"274740"
"A Landbouw, bosbouw en visserij";"68255";"32415";"21315";"9475";"3140";"1290";"505";"85";"62840";"5415"
"B-E Nijverheid (geen bouw) en energie";"57445";"31850";"6865";"4580";"5015";"3665";"2905";"1255";"37120";"20320"
"B Delfstoffenwinning";"345";"185";"35";"30";"25";"20";"20";"15";"135";"210"
"C Industrie";"55060";"30610";"6575";"4390";"4835";"3510";"2755";"1190";"36250";"18810"
"D Energievoorziening";"775";"485";"120";"60";"35";"20";"20";"5";"300";"480"
"E Waterbedrijven en afvalbeheer";"1265";"565";"140";"95";"125";"120";"110";"50";"440";"820"
"F Bouwnijverheid";"139790";"107650";"14325";"6620";"5270";"3140";"1865";"545";"119555";"20235"
"G-I Handel, vervoer en horeca";"293225";"153295";"56860";"34495";"26545";"11795";"6715";"1965";"222300";"70925"
"G Handel";"212745";"118225";"39035";"23575";"17445";"7550";"4600";"1290";"157830";"54915"
"H Vervoer en opslag";"33255";"18285";"5980";"2980";"2385";"1555";"1180";"485";"24665";"8590"
"I Horeca";"47225";"16785";"11845";"7945";"6710";"2690";"930";"190";"39805";"7420"
"J Informatie en communicatie";"69705";"55420";"7010";"2630";"2020";"1290";"815";"280";"52560";"17145"
"K Financiële dienstverlening";"76635";"66105";"5725";"2215";"1405";"645";"320";"90";"6290";"70350"
"L Verhuur en handel van onroerend goed";"24160";"16030";"4530";"2015";"840";"325";"230";"100";"11180";"12980"
"M-N Zakelijke dienstverlening";"318305";"255755";"29265";"12255";"9850";"5315";"3515";"1225";"236100";"82200"
"M Specialistische zakelijke diensten";"261895";"218325";"22155";"8545";"6750";"3345";"1835";"520";"193390";"68510"
"N Verhuur en overige zakelijke diensten";"56405";"37430";"7105";"3710";"3100";"1970";"1675";"705";"42715";"13695"
"O-Q Overheid en zorg";"152625";"118740";"12695";"7935";"5915";"2665";"1535";"850";"132440";"20180"
"O Openbaar bestuur en overheidsdiensten";"785";"115";"10";"10";"10";"25";"50";"115";"80";"705"
"P Onderwijs";"50700";"42925";"3940";"1025";"660";"560";"475";"295";"45460";"5240"
"Q Gezondheids- en welzijnszorg";"101140";"75705";"8750";"6905";"5240";"2085";"1005";"435";"86900";"14240"
"R-U Cultuur, recreatie, overige diensten";"162035";"135910";"12445";"6450";"4225";"1595";"915";"275";"135385";"26650"
"R Cultuur, sport en recreatie";"79425";"68240";"5740";"2325";"1605";"770";"510";"140";"65420";"14005"
"S Overige dienstverlening";"82575";"67645";"6705";"4120";"2620";"820";"410";"140";"69940";"12635"
"T Huishoudens";"25";"20";"5";"0";"0";"0";"0";"0";"25";"0"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
