"Bedrijven; bedrijfstak"
"Perioden: 2018 1e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1665795";"1269775";"178490";"86895";"64420";"32210";"19465";"6880";"1273340";"392455"
"Totaal (ex. financieel of nutsbedrijven)";"1572640";"1188400";"172065";"84710";"62825";"31475";"19035";"6730";"1265230";"307410"
"A Landbouw, bosbouw en visserij";"73900";"36245";"21695";"10500";"3370";"1325";"600";"115";"67845";"6055"
"B-E Nijverheid (geen bouw) en energie";"66415";"41350";"7160";"4150";"4870";"3530";"2760";"1240";"44895";"21520"
"B Delfstoffenwinning";"430";"285";"35";"20";"20";"20";"15";"15";"180";"250"
"C Industrie";"63200";"39310";"6860";"3955";"4650";"3390";"2625";"1175";"43555";"19645"
"D Energievoorziening";"1075";"750";"125";"65";"50";"20";"20";"10";"360";"715"
"E Waterbedrijven en afvalbeheer";"1710";"1010";"135";"110";"150";"100";"100";"45";"805";"910"
"F Bouwnijverheid";"165115";"135685";"13885";"5755";"4730";"2685";"1535";"500";"144375";"20735"
"G-I Handel, vervoer en horeca";"325810";"186490";"58315";"32415";"25735";"12125";"6935";"2115";"248255";"77550"
"G Handel";"228665";"137215";"39505";"21765";"16005";"7210";"4500";"1390";"170180";"58485"
"H Vervoer en opslag";"41390";"26420";"6295";"2805";"2285";"1490";"1195";"465";"31975";"9415"
"I Horeca";"55755";"22855";"12515";"7840";"7445";"3430";"1245";"255";"46100";"9655"
"J Informatie en communicatie";"88840";"72475";"7735";"2845";"2465";"1555";"1100";"360";"66955";"21885"
"K Financiële dienstverlening";"90345";"79600";"6160";"2010";"1395";"610";"310";"95";"6930";"83410"
"L Verhuur en handel van onroerend goed";"26085";"18345";"4000";"2035";"935";"365";"230";"90";"11495";"14585"
"M-N Zakelijke dienstverlening";"399215";"334050";"31150";"12380";"10110";"5385";"3495";"1300";"307785";"91430"
"M Specialistische zakelijke diensten";"329475";"284235";"23395";"8655";"6885";"3505";"1815";"535";"254310";"75165"
"N Verhuur en overige zakelijke diensten";"69740";"49815";"7755";"3730";"3225";"1880";"1675";"770";"53475";"16265"
"O-Q Overheid en zorg";"226510";"189075";"14825";"8240";"6755";"3070";"1610";"780";"200580";"25925"
"O Openbaar bestuur en overheidsdiensten";"795";"170";"5";"5";"35";"30";"40";"95";"90";"705"
"P Onderwijs";"79555";"70425";"5175";"1195";"730";"560";"430";"280";"73535";"6015"
"Q Gezondheids- en welzijnszorg";"146160";"118480";"9645";"7040";"5995";"2480";"1145";"405";"126955";"19205"
"R-U Cultuur, recreatie, overige diensten";"203570";"176455";"13570";"6565";"4050";"1560";"890";"285";"174215";"29350"
"R Cultuur, sport en recreatie";"102855";"90690";"6540";"2585";"1570";"735";"500";"140";"87530";"15330"
"S Overige dienstverlening";"100685";"85750";"7025";"3985";"2480";"825";"390";"145";"86670";"14015"
"T Huishoudens";"20";"15";"5";"0";"0";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
