"Bedrijven; bedrijfstak"
"Perioden: 2008 2e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1088095";"720860";"159185";"81870";"59025";"32545";"19960";"6940";"778695";"309400"
"Totaal (ex. financieel of nutsbedrijven)";"1019930";"665605";"152770";"78900";"57360";"31640";"19475";"6755";"770565";"249365"
"A Landbouw, bosbouw en visserij";"72050";"22915";"30730";"11495";"4185";"1850";"705";"120";"64805";"7245"
"B-E Nijverheid (geen bouw) en energie";"52705";"27320";"6265";"4390";"5000";"3900";"3080";"1305";"32650";"20055"
"B Delfstoffenwinning";"315";"175";"25";"20";"25";"25";"20";"10";"80";"235"
"C Industrie";"50600";"26255";"6040";"4235";"4830";"3740";"2935";"1235";"31955";"18645"
"D Energievoorziening";"625";"400";"105";"40";"20";"10";"10";"10";"275";"350"
"E Waterbedrijven en afvalbeheer";"1165";"490";"95";"95";"125";"125";"110";"45";"335";"825"
"F Bouwnijverheid";"120760";"89715";"12265";"6465";"5510";"3645";"2120";"595";"101265";"19490"
"G-I Handel, vervoer en horeca";"274490";"146615";"51945";"30470";"23535";"11740";"6740";"1965";"207070";"67420"
"G Handel";"200470";"113250";"35690";"21165";"15750";"7710";"4625";"1300";"147865";"52605"
"H Vervoer en opslag";"29815";"16005";"5315";"2515";"2305";"1590";"1215";"480";"21485";"8330"
"I Horeca";"44205";"17360";"10940";"6790";"5480";"2445";"900";"185";"37715";"6485"
"J Informatie en communicatie";"50590";"39155";"5195";"2120";"1640";"1155";"805";"260";"36730";"13860"
"K Financiële dienstverlening";"66330";"54350";"6210";"2835";"1510";"760";"360";"130";"7495";"58835"
"L Verhuur en handel van onroerend goed";"24930";"16740";"4740";"1740";"880";"385";"235";"120";"12795";"12130"
"M-N Zakelijke dienstverlening";"231320";"177820";"22605";"10955";"8580";"5430";"3540";"1260";"163085";"68235"
"M Specialistische zakelijke diensten";"188155";"151105";"17185";"7800";"5750";"3445";"1860";"550";"131460";"56695"
"N Verhuur en overige zakelijke diensten";"43165";"26715";"5420";"3155";"2830";"1990";"1680";"710";"31625";"11545"
"O-Q Overheid en zorg";"76085";"49550";"9060";"6110";"4515";"2080";"1445";"915";"58490";"17590"
"O Openbaar bestuur en overheidsdiensten";"750";"65";"10";"5";"15";"15";"50";"120";"30";"720"
"P Onderwijs";"29070";"23150";"2375";"740";"590";"510";"530";"320";"24385";"4690"
"Q Gezondheids- en welzijnszorg";"46260";"26335";"6670";"5360";"3910";"1555";"870";"475";"34080";"12185"
"R-U Cultuur, recreatie, overige diensten";"118840";"96685";"10175";"5300";"3670";"1595";"930";"270";"94305";"24535"
"R Cultuur, sport en recreatie";"51740";"42465";"4445";"1920";"1415";"770";"500";"135";"39215";"12525"
"S Overige dienstverlening";"67055";"54200";"5725";"3380";"2245";"820";"425";"135";"55070";"11985"
"T Huishoudens";"10";"5";"5";"0";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"35";"10";"0";"5";"10";"5";"0";"0";"10";"25"
"Bron: CBS"
