"Bedrijven; bedrijfstak"
"Perioden: 2007 3e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1040415";"672410";"157220";"82565";"60085";"32785";"20285";"7150";"745770";"294640"
"Totaal (ex. financieel of nutsbedrijven)";"979220";"623665";"151490";"79570";"58300";"31860";"19755";"6965";"737420";"241805"
"A Landbouw, bosbouw en visserij";"71940";"22395";"30830";"11600";"4310";"1900";"720";"130";"64460";"7480"
"B-E Nijverheid (geen bouw) en energie";"51650";"25915";"6360";"4440";"5025";"3935";"3165";"1330";"31855";"19795"
"B Delfstoffenwinning";"320";"170";"25";"25";"25";"20";"25";"10";"85";"235"
"C Industrie";"49560";"24890";"6140";"4270";"4860";"3780";"3005";"1265";"31150";"18410"
"D Energievoorziening";"600";"375";"100";"45";"20";"5";"10";"10";"285";"315"
"E Waterbedrijven en afvalbeheer";"1170";"480";"90";"105";"120";"130";"125";"45";"335";"830"
"F Bouwnijverheid";"111070";"79990";"12195";"6425";"5550";"3670";"2175";"610";"92355";"18715"
"G-I Handel, vervoer en horeca";"269485";"139840";"52045";"31220";"24065";"11930";"6855";"2030";"203270";"66210"
"G Handel";"196950";"108395";"35745";"21795";"16140";"7835";"4695";"1345";"145240";"51710"
"H Vervoer en opslag";"29125";"15240";"5335";"2470";"2340";"1605";"1240";"490";"20905";"8220"
"I Horeca";"43405";"16205";"10965";"6950";"5580";"2485";"920";"190";"37125";"6280"
"J Informatie en communicatie";"47005";"35830";"4950";"2095";"1650";"1135";"815";"270";"34160";"12850"
"K Financiële dienstverlening";"59375";"47870";"5530";"2840";"1640";"785";"390";"130";"7710";"51665"
"L Verhuur en handel van onroerend goed";"24665";"16340";"4805";"1730";"915";"410";"245";"125";"12685";"11980"
"M-N Zakelijke dienstverlening";"215525";"162975";"21695";"10885";"8655";"5350";"3530";"1270";"152950";"62570"
"M Specialistische zakelijke diensten";"174985";"138595";"16430";"7740";"5865";"3430";"1865";"570";"123250";"51730"
"N Verhuur en overige zakelijke diensten";"40540";"24380";"5260";"3145";"2790";"1925";"1665";"700";"29700";"10840"
"O-Q Overheid en zorg";"73420";"47180";"8805";"5965";"4495";"2055";"1435";"985";"55900";"17520"
"O Openbaar bestuur en overheidsdiensten";"760";"75";"10";"5";"15";"15";"50";"115";"30";"730"
"P Onderwijs";"27565";"21670";"2310";"725";"595";"500";"520";"360";"22980";"4585"
"Q Gezondheids- en welzijnszorg";"45090";"25430";"6485";"5235";"3885";"1535";"865";"510";"32885";"12205"
"R-U Cultuur, recreatie, overige diensten";"116285";"94080";"10010";"5370";"3780";"1615";"945";"270";"90425";"25860"
"R Cultuur, sport en recreatie";"50605";"41495";"4325";"1855";"1440";"765";"505";"130";"37755";"12850"
"S Overige dienstverlening";"65630";"52560";"5675";"3505";"2335";"845";"435";"140";"52645";"12980"
"T Huishoudens";"15";"10";"5";"0";"0";"0";"0";"0";"15";"0"
"U Extraterritoriale organisaties";"35";"10";"5";"5";"5";"5";"0";"0";"10";"25"
"Bron: CBS"
