"Bedrijven; bedrijfstak"
"Perioden: 2008 1e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1087470";"720745";"158780";"81475";"59135";"32555";"20035";"7000";"775095";"312375"
"Totaal (ex. financieel of nutsbedrijven)";"1018140";"663510";"152890";"78720";"57505";"31685";"19550";"6815";"766820";"251315"
"A Landbouw, bosbouw en visserij";"72705";"23195";"30920";"11600";"4240";"1865";"710";"120";"65185";"7520"
"B-E Nijverheid (geen bouw) en energie";"52770";"27210";"6325";"4405";"5015";"3925";"3115";"1320";"32710";"20060"
"B Delfstoffenwinning";"315";"160";"25";"25";"25";"25";"25";"10";"80";"230"
"C Industrie";"50675";"26170";"6100";"4250";"4850";"3765";"2965";"1255";"32005";"18670"
"D Energievoorziening";"605";"385";"105";"35";"20";"10";"10";"10";"275";"330"
"E Waterbedrijven en afvalbeheer";"1180";"495";"95";"100";"125";"130";"115";"45";"350";"830"
"F Bouwnijverheid";"118760";"87710";"12270";"6420";"5520";"3655";"2140";"605";"99460";"19300"
"G-I Handel, vervoer en horeca";"275575";"147015";"52250";"30570";"23685";"11815";"6765";"1990";"208135";"67440"
"G Handel";"201585";"113800";"35975";"21270";"15835";"7765";"4635";"1320";"148900";"52685"
"H Vervoer en opslag";"29720";"15905";"5335";"2475";"2315";"1595";"1220";"485";"21430";"8290"
"I Horeca";"44270";"17315";"10940";"6825";"5530";"2455";"905";"185";"37805";"6460"
"J Informatie en communicatie";"49970";"38630";"5150";"2080";"1630";"1155";"810";"265";"36320";"13650"
"K Financiële dienstverlening";"67500";"56340";"5680";"2615";"1475";"730";"350";"130";"7625";"59875"
"L Verhuur en handel van onroerend goed";"25090";"16915";"4760";"1710";"870";"390";"240";"120";"12895";"12195"
"M-N Zakelijke dienstverlening";"228690";"175940";"22210";"10675";"8535";"5370";"3535";"1265";"160870";"67820"
"M Specialistische zakelijke diensten";"186050";"149670";"16805";"7560";"5725";"3420";"1850";"550";"129610";"56440"
"N Verhuur en overige zakelijke diensten";"42640";"26270";"5405";"3120";"2810";"1955";"1685";"715";"31260";"11380"
"O-Q Overheid en zorg";"76540";"50120";"9025";"6080";"4480";"2055";"1445";"915";"58445";"18090"
"O Openbaar bestuur en overheidsdiensten";"750";"70";"5";"5";"15";"15";"50";"115";"35";"715"
"P Onderwijs";"28785";"22905";"2355";"730";"585";"505";"530";"315";"24075";"4710"
"Q Gezondheids- en welzijnszorg";"47005";"27145";"6665";"5345";"3875";"1535";"865";"485";"34335";"12670"
"R-U Cultuur, recreatie, overige diensten";"119870";"97670";"10190";"5315";"3680";"1595";"930";"270";"93445";"26420"
"R Cultuur, sport en recreatie";"51870";"42605";"4445";"1925";"1420";"760";"495";"135";"38555";"13320"
"S Overige dienstverlening";"67950";"55045";"5740";"3385";"2255";"830";"430";"135";"54875";"13080"
"T Huishoudens";"15";"10";"5";"0";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"35";"10";"5";"5";"5";"5";"5";"0";"10";"25"
"Bron: CBS"
