"Bedrijven; bedrijfstak"
"Perioden: 2011 1e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1277720";"887960";"170460";"88560";"64925";"32260";"19380";"6765";"943415";"334305"
"Totaal (ex. financieel of nutsbedrijven)";"1203215";"825280";"164290";"86140";"63320";"31460";"18945";"6615";"936275";"266940"
"A Landbouw, bosbouw en visserij";"69780";"31905";"22665";"9600";"3445";"1515";"520";"90";"64255";"5530"
"B-E Nijverheid (geen bouw) en energie";"55565";"29480";"6810";"4665";"5235";"3845";"2925";"1290";"35135";"20425"
"B Delfstoffenwinning";"320";"165";"30";"30";"25";"20";"20";"15";"115";"205"
"C Industrie";"53330";"28350";"6530";"4490";"5065";"3695";"2780";"1225";"34350";"18980"
"D Energievoorziening";"695";"420";"130";"55";"20";"15";"20";"10";"285";"410"
"E Waterbedrijven en afvalbeheer";"1220";"545";"125";"90";"120";"120";"110";"45";"385";"835"
"F Bouwnijverheid";"134890";"101385";"14615";"6685";"5760";"3455";"1985";"595";"114360";"20530"
"G-I Handel, vervoer en horeca";"286845";"146565";"56890";"34795";"26640";"11830";"6705";"1935";"216515";"70330"
"G Handel";"209410";"113780";"39085";"23840";"17995";"7820";"4635";"1285";"154850";"54560"
"H Vervoer en opslag";"31910";"16940";"5970";"2935";"2405";"1555";"1225";"480";"23240";"8670"
"I Horeca";"45530";"15845";"11835";"8015";"6240";"2455";"845";"175";"38425";"7100"
"J Informatie en communicatie";"63410";"49885";"6595";"2495";"1910";"1215";"790";"270";"47415";"15995"
"K Financiële dienstverlening";"72570";"61705";"5915";"2280";"1465";"665";"310";"95";"6460";"66110"
"L Verhuur en handel van onroerend goed";"24385";"15515";"5055";"2160";"855";"350";"250";"110";"11720";"12665"
"M-N Zakelijke dienstverlening";"289400";"228680";"27855";"11815";"9890";"5385";"3440";"1215";"211765";"77635"
"M Specialistische zakelijke diensten";"237050";"194910";"21075";"8135";"6750";"3455";"1795";"500";"172415";"64635"
"N Verhuur en overige zakelijke diensten";"52350";"33775";"6775";"3685";"3140";"1935";"1645";"715";"39350";"13000"
"O-Q Overheid en zorg";"130825";"98625";"12005";"7645";"5470";"2340";"1515";"885";"111545";"19280"
"O Openbaar bestuur en overheidsdiensten";"790";"105";"10";"5";"10";"25";"45";"125";"65";"720"
"P Onderwijs";"42370";"35200";"3435";"955";"645";"525";"470";"310";"37405";"4965"
"Q Gezondheids- en welzijnszorg";"87670";"63320";"8565";"6685";"4820";"1795";"995";"450";"74075";"13595"
"R-U Cultuur, recreatie, overige diensten";"150045";"124205";"12055";"6425";"4255";"1655";"935";"280";"124245";"25800"
"R Cultuur, sport en recreatie";"72700";"61700";"5575";"2300";"1595";"780";"510";"145";"59095";"13605"
"S Overige dienstverlening";"77325";"62495";"6475";"4125";"2660";"875";"425";"140";"65140";"12185"
"T Huishoudens";"10";"5";"5";"0";"0";"0";"0";"0";"10";"0"
"U Extraterritoriale organisaties";"10";"5";"0";"0";"0";"0";"0";"0";"0";"10"
"Bron: CBS"
